iter	Passed	Remaining
446	1153	1426
447	1155	1424
448	1158	1421
449	1161	1419
450	1163	1416
451	1165	1413
452	1168	1410
453	1171	1408
454	1173	1406
455	1176	1403
456	1178	1400
457	1181	1397
458	1183	1394
459	1186	1392
460	1189	1390
461	1192	1388
462	1194	1385
463	1197	1382
464	1199	1380
465	1202	1377
466	1204	1374
467	1206	1372
468	1209	1369
469	1211	1366
470	1214	1364
471	1216	1361
472	1219	1358
473	1221	1355
474	1223	1352
475	1226	1349
476	1229	1347
477	1231	1344
478	1234	1342
479	1236	1339
480	1238	1336
481	1241	1333
482	1243	1331
483	1246	1329
484	1249	1326
485	1251	1323
486	1254	1321
487	1256	1318
488	1259	1316
489	1262	1313
490	1264	1310
491	1266	1308
492	1269	1305
493	1272	1303
494	1274	1300
495	1277	1297
496	1279	1295
497	1282	1292
498	1284	1289
499	1287	1287
500	1289	1284
501	1292	1282
502	1295	1279
503	1297	1277
504	1300	1274
505	1303	1272
506	1305	1269
507	1308	1267
508	1310	1264
509	1313	1261
510	1316	1259
511	1319	1257
512	1321	1254
513	1324	1252
514	1326	1249
515	1329	1246
516	1332	1244
517	1335	1242
518	1337	1239
519	1340	1236
520	1342	1234
521	1345	1232
522	1348	1229
523	1350	1226
524	1353	1224
525	1355	1221
526	1358	1219
527	1361	1216
528	1364	1214
529	1366	1211
530	1368	1209
531	1371	1206
532	1373	1203
533	1376	1201
534	1379	1198
535	1381	1196
536	1383	1193
537	1386	1190
538	1389	1188
539	1391	1185
540	1394	1182
541	1396	1180
542	1399	1177
543	1401	1175
544	1404	1172
545	1407	1170
546	1409	1167
547	1412	1164
548	1414	1161
549	1417	1159
550	1419	1156
551	1421	1153
552	1424	1151
553	1426	1148
554	1428	1145
555	1431	1143
556	1433	1140
557	1436	1137
558	1438	1135
559	1441	1132
560	1443	1129
561	1446	1127
562	1449	1124
563	1451	1122
564	1454	1119
565	1456	1116
566	1459	1114
567	1461	1111
568	1464	1109
569	1466	1106
570	1469	1103
571	1471	1101
572	1474	1098
573	1476	1095
574	1479	1093
575	1481	1090
576	1483	1087
577	1485	1084
578	1488	1082
579	1491	1079
580	1493	1077
581	1496	1074
582	1498	1071
583	1501	1069
584	1504	1067
585	1506	1064
586	1509	1061
587	1511	1059
588	1514	1056
589	1516	1053
590	1519	1051
591	1522	1049
592	1524	1046
593	1526	1043
594	1529	1041
595	1533	1039
596	1536	1036
597	1538	1034
598	1541	1031
599	1543	1029
600	1546	1026
601	1548	1023
602	1551	1021
603	1553	1018
604	1555	1015
605	1558	1013
606	1561	1010
607	1564	1008
608	1567	1006
609	1569	1003
610	1572	1000
611	1575	998
612	1577	996
613	1581	994
614	1583	991
615	1586	989
616	1589	986
617	1592	984
618	1594	981
619	1597	978
620	1599	976
621	1602	973
622	1604	971
623	1607	968
624	1609	965
625	1611	963
626	1614	960
627	1616	957
628	1619	955
629	1622	952
