ree,support,confidence,error
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.DISTANCE=t1.DISTANCE,0.0004453,0.997089117778773,"5637,2132,7753,5719,1584,2331,6037,5760,6769,2077,8082,9817,6373,8648,1940,2415,1259,8709,7455,1282,9520,9509,2709,1333,7263,5640,8617,4475"
0(t0)^0(t1) ^ t0.DISTANCE=t1.DISTANCE ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT,0.0004453,0.9661951050164902,"3203,5901,2254,7870,4969,327,3831,9777,2715,4041,3888,904,2255,7811,3792,8476,7953,505,5957,1126,807,4475,1761,5211,2888,8975,253,2423,2008,1988,6886,3542,8118,400,3741,3547,7807,4953,9011,5286,543,2104,5541,8221,3852,2305,4776,2290,1282,7308,5640,8419,5108,507,4679,9379,4343,2729,207,7371,7932,255,9412,4096,2401,1697,2261,5007,3879,9520,7247,6076,2939,4793,1242,142,2522,7409,6625,9565,2555,9955,2265,6083,7842,4252,3366,8981,5318,837,9557,1097,7462,3210,5721,409,9364,88,3522,5644,1487,10"
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.DISTANCE=t1.DISTANCE->t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT,0.0004453,0.9673284963288005,"2640,1754,7641,9864,3813,8461,6204,4581,8213,2412,9531,3597,2400,5808,9820,1607,3303,1853,1727,979,1192,3008,7768,9948,3435,7264,4547,1856,2811,8176,8626,5116,828,4330,6328,2797,3775,2220,6560,2594,3542,3781,7487,9485,3243,2532,6300,3621,5190,5383,3220,4024,6369,2653,1931,2136,4616,3515,6366,2972,9031,3960,8038,6000,7387,9567,7444,9126,6337,3665,3543,7657,1600,3560,4918,2078,8845,4829,3079,831,5926,5587,3298,534,3371,9482,8206,9157,5253,5598,8285,4852,4351,158,6221,1094,8384,1711,5723,5291,1784,8746,5486,7179,8878,2331,7455,108"
0(t0)^0(t1) ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DISTANCE=t1.DISTANCE->t0.AIRLINE=t1.AIRLINE,0.00003154,0.9580801944106926,"7925,9843,9617,9668,3922,2029,826,1922,18,7955,6397,1615,8801,8977,7662,869,7234,4106,7523,4593,3155,9359,1441,7640,3700,3283,4515,9648,341,1669,6695,1537,7114,5812,4927,4361,5272,6819,4892,1092,9462,8811,9750,1919,8770,5472,852,1902,6628,1251,4601,8161,4754,1869,7007,918,1964,1402,2416,4780,3730,6059,5167,7041,3361,3990,1389,4332,7930,7931,477,946,6168,3495,8716,6166,4465,7733,7172,2466,9960,6297,1114"
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.AIRLINE=t1.AIRLINE,0.00002176,0.9602824360105914,"9648,1273,7931,1615,1092,3990,6695,2416,4361,4515,9960,3730,946,9843,341,7172,6397,7007,7925,6297,4780,852,1114,5167,1902,8801,9750,4754,5272,1669,1919,3922,4593,9462,7114,7234,6628,7005,2029,8977,7523,3155,7640,6166,477,9668,8716,1402,5812,1964,6059,3361,8770,6168,1869,4465,7351,1441,9359,9617,1537,8811,6819,826"
