ree,support,confidence,error
0(t0)^0(t1) ^ t0.DISTANCE=t1.DISTANCE ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT,0.00044259,0.9682669904505627,"2265,3210,19990,7811,14937,5640,7953,18251,14615,10889,306,369,2261,7870,17640,13046,8698,19342,5474,5108,19608,11021,3741,3547,8975,16698,18921,1135,15025,19569,19904,8221,14789,2254,7308,18024,4679,15892,17371,7932,19346,11636,12574,10492,17887,8735,10881,9379,5957,17142,2741,18732,2255,4793,19336,4129,2008,2153,2522,2729,9777,14245,1282,19567,18816,400,18173,4041,9147,5290,12861,19534,10864,19230,2423,18380,14847,12148,459,16691,15368,16134,18877,9565,3255,1242,5185,253,3831,3792,6647,1988,3852,11121,3542,8650,18993,17087,2939,19707,5901,10786,3522,16020,14523,18140,2555,10045,1318,12635,7371,2715,13225,5406,10655,15177,11690,18726,5007,16716,2305,7842,17291,255,19127,7807,14879,13829,4625,11933,19532,15409,3879,5318,10238,6907,17667,7526,11940,9011,1761,15896,2290,9220,3366,13121,6076,7462,543,11887,837,11407,15990,19981,13088,18670,14239,12974,12349,5996,8136,18344,13430,11378,19403,15599,6983,10311,9364,9520,13959,10823,14979,2050,7087,3888,11210,19701,10361,9412,13514,12531,15348,15027,15213,4096,8118,19769,7409,18396,15317,1097,505,4343,1487,10,3203,8141,18672,17828,2888,15014,2659,3063,11425,4776,18793,5286,10370,409,16155,13734,16526,13457,14438,6625,6553,5721,1697,1126,12236,2419,9557,807,2401,17916,5796,9955,6083"
0(t0)^0(t1) ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT ^ t0.AIRLINE=t1.AIRLINE ^ t0.AIRLINE!=UA ^ t0.AIRLINE!=DL ^ t0.AIRLINE!=B6->t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT,0.6764,0.9712808730614589,"16741,14135,5765,14686,10054,6330,5842,16162,19239,11670,6773,19782,8122,8294,370,11834,8807,15032,3632,8118,7673,11655,6003,13871,4049,12696,15986,1951,2795,16219,18400,8025,4665,18427,9365,992,12669,6359,7961,16307,18892,6225,11437,10323,2953,19234,12637,18529,19434,5835,10321,9342,5810,3884,16889,18168,13218,12573,5755,8181,9105,6101,3740,12079,17969,11795,8328,16910,18441,2017,17878,16422,14433,16375,18129,389,6357,2274,6968,15921,6394,3885,11069,6063,17217,7998,19577,9534,9417,10413,19160,19342,3135,2040,19336,4071,16669,16544,4873,18091,12465,3036,9208,12192,16300,4452,2458,14922,14739,2934,14355,1478,10832,6540,10483,9851,4996,14963,19316,9890,17482,10439,3210,11845,336,8374,12629,19426,15415,17972,1532,16923,12260,12063,654,10682,7952,19127,18449,12422,3276,11330,6005,3348,7470,11315,2504,6164,6287,4201,15022,15006,8759,4413,7617,6983,19561,3350,13402,180,1493,13296,6234,19718,5108,1166,9892,6993,19821,2857,6108,10458,11094,12687,5871,292,5387,4450,12435,5752,19200,19793,5979,14469,16347,5219,477,7416,15958,12387,18654,3670,10471,712,5734,4287,5816,1328,7063,9930,17749,6347,8706,39,4011,1220,13859,9745,9095,13290,18434,19650,18827,10470,7095,6822,2043,1155,260,17778,2249,7167,13769,15567,66,3238,13692,591,15535,469,7445,7255,16118,11160,16552,17298,5052,2829,3119,8610,16784,15935,2968,4626,7306,7007,12481,2781,3006,10140,7532,12900,8134,11176,9646,12193,14724,2232,13098,18598,10778,9194,14385,74,3538,17487,16981,7814,7568,14910,10250,4474,13397,5321,3480,8848,14886,18521,10145,12231,18008,7018,19508,3773,4811,11241,12552,5169,2330,18259,15050,1906,14087,7410,15086,12685,13624,3969,11880,4959,9611,12721,13061,19183,9108,4205,5541,4206,4276,11287,13464,17987,5172,11424,5601,11230,7684,1720,17777,6693,7966,18120,12606,11752,5903,1093,9962,2019,11596,8653,19923,18713,11549,11167,15839,18214,2927,10637,18768,10039,11584,17694,19810,8576,15106,2696,6618,2896,16681,12821,16354,19979,4266,4128,181,9468,10266,2723,15297,11964,10116,17218,580,2449,9329,1597,6552,15306,16849,16484,13456,1746,7774,222,13115,16815"
0(t0)^0(t1) ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT ^ t0.AIRLINE=t1.AIRLINE ^ t0.AIRLINE=DL->t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT,0.167,0.9881656804733728,"5288,3637,17035,6138,17108,19184,14149,1761,327,19584,17548,11665,15087,18380,391,5330,6010,10377,1782,19224,9225,19769,492,8116,2430,18471,12632,1938,5289,5207,797,16887,1392,439,19667,17328,9259,1006,10383,15887,6844,4410,3567,8622,8425,13275,19875,16299,1060,6449,407,18041,9682,16427,15282,2570,3309,2135,3755,547,11243,608,6824,8871,11695,1701,3839,1298,1443,9400,4724,589,732,10518,12052,6738,17199,4294,12013,19850,15700,2460,10538,19670"
0(t0)^0(t1) ^ t1.AIRLINE!=US ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT ^ t0.AIRLINE!=US ^ t0.AIRLINE!=AA->t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT,0.7532,0.9616956077630235,"16301,12635,732,18713,18167,9646,16422,1782,1669,4071,5871,17972,2446,8486,15306,3583,12231,10176,1761,15156,439,15289,10383,11260,2043,13319,8122,6359,9813,14335,9179,17830,16183,19718,12721,6540,17987,9400,19769,9890,11243,13216,7416,8775,4958,5169,18521,9263,5220,4687,12380,6434,14893,7962,5551,14963,2305,8999,1166,19577,12552,4266,3472,618,18343,17587,871,11881,5541,8871,18054,16354,6844,1298,13768,7654,2728,3146,13133,14810,8731,2165,9081,13061,12687,9763,18459,6600,13338,3274,4702,7736,4474,11865,17108,17797,5601,18560,552,13094,16299,3350,19558,19533,6289,16240,5599,7644,19183,2087,6101,16955,10,10342,13555,9873,12422,8646,453,16681,14087,2232,16219,11040,3655,626,17298,9850,9930,14845,18041,6954,8750,15171,2263,18380,350,10961,9259,15529,4201,10483,6738,3637,17516,18120,15614,8425,8129,16315,17024,3339,18815,15861,18827,7870,7882,17355,6053,9249,16484,11330,5501,2145,6449,9225,11756,18598,4008,1392,1938,3276,15983,11424,15022,16442,958,13297,10323,15316,18434,93,3420,6108,7527,17218,8073,3670,9194,7458,19366,6116,1590,13841,14872,5846,15027,13618,3969,11695,9655,2135,18529,18200,18129,2108,17778,10761,14315,7998,19317,3119,14346,109,2292,14366,17852,8474,1597,10644,1868,12593,17548,12319,12146,13769,4011,19802,10140,11876,18471,3881,17034,1459,10039,17328,16130,9495,15106,12063,9676,4410,16552,11044,9674,14922,3885,3740,19762,19793,9812,8374,16534,19454,18192,1476,14378,9715,492,15887,19224,11596,7932,12514,771,12431,19875,1300,19854,16465,14343,10943,64,577,19667,17981,13313,16713,17525,18209,8181,12632,18219,15415,2249,4276,2570,3864,370,11430,7532,15380,12606,18544,433,15299,9013,15992,1006,16375,7139,17035,12192,16981,8116,11530,11544,18400,8648,10418,7255,6983,8761,2101,5920,8675,8848,2953,19965,13225,7062,11094,9603,407,391,10286,11033,712,7808,5701,5514,17694,547,19249,14083,17878,9581,3055,19316,5052,15032,9105,3855,13065,15475,12465,5816,4724,1339,11197,16741,19608,2795,2430,19850,12153,15850,13659,18008,11845,15516,2460,9365,1809,6164,15051,8572,10788,6403,469,18892,12013,7300,3310,5397,5384,10068,5321,10377,17769,9468,13792,17401,4873,7374,2033,14735,5330,11508,3486,13424,9272,10309,6840,7373,17391,16887,14631,10440,16923,9456,15862,17482,19810,18667,15521,18096,18857,10518,16777,16056,16824,17499,336,818,18427,2891,4378,6552,8407,5282,19200,5219,19234,558,10145,795,4206,17417,1328,16815,11584,18846,7952,4413,7989,3213,9851,9962,16698,11043,2050,14202,6010,1275,5505,12946,2196,2330,17969,5763,3791,12696,5030,3567,15369,5765,12886,6257,7725,6332,5734,6693,2019,17129,7279,11589,18873,6113,1450,2201,5204,15936,12234,2062,9095,3839,8134,16537,1442,2394,10116,6404,923,7779,10949,17502,18781,17924,12332,3755,11665,15282,15735,1661,5557,8622,10000,16105,9816,4049,13890,13290,8294,14153,2373,14355,7336,14724,19239,16300,19584,17153,5242,14469,11930,18539,19952,12387,3396,12900,13098,5172,15071,19557,14651,14126,2017,13692,15535,10982,11413,13275,8892,7306,14405,15362,1512,11574,1534,14385,2301,9491,13129,12079,17875,9364,7829,15829,10852,6391,5869,6968,12034,4287,17712,15935,4693,9913,6824,13296,3348,18259,13624,934,15087,1849,14923,2504,14937,7774,1340,10439,15086,4626,2442,14843,13373,3625,6003,19876,10321,19336,10814,2449,2829,3474,17363,2458,2552,17749,4554,15584,18699,19058,6867,7446,12095,2137,17100,18953,12264,19758,12669,580,7966,389,5368,11452,12328,15921,16846,6330,19508,11454,13057,3884,18417,7673,12260,9473,14480,15700,15017,589,14106,18640,1951,19684,17523,9757,11070,6822,2257,19710,8030,6961,4294,2968,686,13851,16848,18768,1601,7830,15554,5903,7727,17706,9534,6616,9682,6139,12215,15944,19782,3036,16969,13350,17172,9217,15396,19650,13218,10682,4376,19670,9745,186,6339,3309,10266,16395,8677,12743,1172,5259,15943,13871,1644,9500,4130,11597,10680,9935,1104,3135,39,16507,12435,4996,3210,11315,5254,4665,11611,18441,14149,5288,327,3238,12052,9342,14005,9892,18184,18068,2955,18588,19184,6005,14399,3118,19528,19434,7018,15123,5316,7586,4907,12861,17777,6993,6421,8917,11160,1155,16677,8025,7365,7470,1478,2495,1220,5207,6352,760,14910,5289,11713,3539,18091,2025,11789,19745,17945,8411,12495,5108,5752,13978,19619,10132,10832,19923,4389,17199,8969,608,6711,15949,1060,11102,11834,18214,4811,15963,2696,6618,13402,10778,5629,3632,7617,15567,15060,4205,15958,10020,9064,1701,9288,797,4450,3503,6138,19821,12227,12193,5084,1699,5590,12389,10538,1093,10029,1650,4722,9108,8328,10413,2714,2059,7684,15050,18689,2834,15839,9575,2402,14447,2040,17700,7887,9061,10988,18401,9296,1301,12629,486,16114,1443,11670,16910,16427,11331,3773,8576,13456"
0(t0)^0(t1) ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DISTANCE=t1.DISTANCE ^ t0.AIRLINE=t1.AIRLINE ^ t0.AIRLINE=B6->t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT,0.0606,0.9680511182108626,"10174,12815,7352,13306,7606,7805,3972,6636,6255,13327,18261,2510,1163,10160,1170,7393,7356,10559,4986,1040,15315,15646,15190,6909,6602,10822,13868,8689,13175,6712,16933,11656,15963,7479,4703,18705,9956,4278,13247,17674,2783,6867,2381,18132,14090,16908,9739,19518,11671,2420,18508,3022,2871,3714,16270,1063,8861,14065,14408,8152,8566,13337,19334,19262,12759,3390,4559,13168,10819,8579,17136,19807,15905,14389,6442,13118,6961,4178"
0(t0)^0(t1) ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DISTANCE=t1.DISTANCE ^ t0.AIRLINE=t1.AIRLINE ^ t0.AIRLINE=WN->t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT,0.1384,0.9746478873239437,"13875,17770,13034,9883,11554,10779,11317,6639,13748,14268,8960,15669,3106,2938,14721,17339,17173,8521,13697,9071,10310,14989,12741,9671,6687,2308,16860,2500,16468,6990,10002,10414,19831,6767,9277,14305,743,7940,7578,8810,5222,10346,19680,9721,11766,9220,16143,18597,10511,19329,14827,10602,15874,12633,17560,14481,8184,12291,9037,4814,8383,422,10313,6510,17811,2051,3548,2325,6733,1861,13307,4587,1183,1606,17353,19362,12519,2530,11313,16906"
0(t0)^0(t1) ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DISTANCE=t1.DISTANCE ^ t0.AIRLINE=UA->t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT,0.076,0.9571788413098237,"18372,19802,10614,16497,11020,13262,14830,17056,19780,14333,4067,15808,4046,5248,918,299,9362,4900,10115,9278,12410,13105,15314,14707,12296,10784,11033,14438,4606,4927,19218,2623,15062,12975,3131,15550,3495,19566,18662,10402,7838,14659,4793,2772,5738,4802,15163,16503,12275,8020,6475,806,1860,4948,12848,17197,2741,14496"
0(t0)^0(t1) ^ t1.AIRLINE=WN ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DISTANCE=t1.DISTANCE ^ t0.AIRLINE=WN->t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT,0.138,0.9857142857142858,"16143,15874,16860,13697,19680,1183,6510,8521,2938,6990,9277,7578,13034,12519,15669,8383,743,10313,2325,17173,7940,2051,11313,4814,422,4587,17339,9721,14721,11317,19831,19362,13307,9071,2308,1606,8184,14268,9037,6733,3106,9883,6687,17353,9671,14305,10310,10602,6767,14827,12741,18597,17560,10346,19329,10511,12291,11766,14989,2500,10779,17770,2530,1861,14481,11554,10414,8810,12633,17811,3548,13748,10002,13875,5222,9220,16468,6639,16906,8960"
0(t0)^0(t1) ^ t0.SCHEDULED_TIME=t1.SCHEDULED_TIME ^ t0.DISTANCE=t1.DISTANCE ^ t0.AIRLINE=t1.AIRLINE ^ t0.AIRLINE=B6->t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT,0.0224,0.9824561403508771,"8579,12590,6301,7606,6492,12077,18270,6470,1254,1040,526,13156,17547,16524,4832,16863,6442,18771,19933,5015,17639,13647,15791,7479,3972,10822,18289,15646,13331,7393,8379,16922,7001,13883,19949,17674,5232,6712,10261,13247,14065,14997,5402,3390,6528,14965,18388,10992,19007,6683,7352,18711,145,3714,2125,5242,5508,13118,8152,16933,14319,16736,4644,18508,19334,12383"
0(t0)^0(t1) ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.AIRLINE=t1.AIRLINE ^ t0.AIRLINE=B6->t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT,0.0234,0.9669421487603306,"1063,8861,13955,14408,3022,7356,3714,4559,6255,13327,15315,7606,10160,7472,11656,8152,2510,15190,4278,18705,4986,7393,6442,9392,18132,16376,7479,11671,14065,10794,6636,16933,18270,2871,5727,14090,4178,13868,13337,16908,10559,16270,6602,2783,1170,13118,13247,10822,7352,12759,13306,19518,14389,12815,15646,17674,15905,1040,19807,17136,2420,15920,18508,13741,8689,3972,8566,4703,7805,2381,6867,12460,19334,10174,10819,17253,19262,3390,6712,8579,9956,18261,6909,13175,9739,13168,15963,1356,6961,1163"
0(t0)^0(t1) ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.AIRLINE=t1.AIRLINE ^ t0.AIRLINE=AS->t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT,0.0326,0.9644970414201184,"7420,19618,11160,13600,19077,18532,8442,4528,17886,19415,7692,1118,5203,10463,7806,3506,10909,8104,1315,16361,2696,782,10331,780,14154,18338,19335,14252,4905,3383,11821,5194,13176,6758,10708,9085,18438,5393,14211,10855,8519,12212,14679,5752,16092,7370,3258,10695,8596,14230,4453,430,7650,5884,17370,78,17868,2162,16811,463,9194,18680,11586,5010,8534,16045,6415,19466,1276,57,19809,12830,10390,18390,18086,10587,15738,15831,7008,2249,11644,1478,16078,16185,1807,12354"
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.DISTANCE=t1.DISTANCE,0.00044259,0.9952999910047675,"7455,11331,14414,17477,10482,8082,6037,15964,10484,19733,5760,17036,16620,12616,19723,14121,18014,17060,17421,5637,12689,19757,13372,10224,16117,14233,1282,10448,9520,8617,5186,15652,17866,17033,12913,8648,1584,16861,17563,9509,7263,12208,19013,13203,2331,4358,11071,6373,6769,4475,11604,11092,9817,16992,10500,8709,7753,17858,2709,2132,19190,10884,18074,14115,16875,15778,18816,10168,10479,11834,17121"
