ree,support,confidence,error
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.DISTANCE=t1.DISTANCE,0.00044259,0.9952999910047675,"16861,5186,18014,7263,14414,19757,11071,9520,5760,11092,17060,6769,5637,16875,19013,17477,4475,8709,9509,11331,16620,13372,2709,10500,17033,8648,1584,16117,16992,15652,17121,8617,18816,7753,17421,10884,2331,17858,10484,12616,17866,1282,10448,10224,11834,14121,6373,4358,14115,12913,19190,10168,14233,13203,9817,7455,12689,17563,10479,12208,19733,11604,6037,8082,18074,15964,2132,19723,10482,17036,15778"
0(t0)^0(t1) ^ t0.DISTANCE=t1.DISTANCE ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT,0.00044259,0.9682669904505627,"3852,9557,2050,16020,18921,1126,6907,16716,10655,5996,15177,255,5007,7870,2419,3366,11210,3888,13514,3792,2729,9412,13457,14239,13121,2401,10889,18670,4679,19230,3522,13959,16691,15892,14245,1697,12236,14937,15896,2423,4625,2255,19904,19569,1097,9220,6625,8118,11690,7087,18380,807,17667,9955,19567,8650,9379,15368,19346,18672,2939,12635,5640,18344,4041,1318,19534,8221,12574,17142,2555,15599,6647,1988,19769,10,8136,19990,11933,18993,18140,18173,3741,1761,9147,409,11887,19342,5901,3831,13829,2153,18396,18732,13734,12531,7932,1282,8698,4343,14438,10311,2265,16526,9520,11407,3210,6076,2008,10881,17828,9364,15025,16134,3063,16155,5185,17087,14523,18251,15317,4776,14879,5721,3879,2305,9011,10045,7409,11940,253,1135,11021,12974,13046,18877,15014,7842,7308,5318,1242,14847,14789,12148,7371,13430,5474,2741,19127,10370,2888,17916,6083,15990,8975,18024,837,12861,2715,15027,4096,8735,5290,3542,17371,11636,10864,306,13225,4793,3203,15213,6553,543,19403,2290,15409,14979,2261,15348,10823,19532,11425,13088,16698,1487,19981,10361,369,5796,5108,5286,9777,12349,7953,10238,459,6983,400,5957,8141,3255,11378,18726,3547,505,19701,10492,7807,14615,7526,19336,17887,5406,18816,10786,18793,7462,4129,2522,2659,17640,11121,19707,2254,19608,7811,9565,17291"
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.DISTANCE=t1.DISTANCE->t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT,0.00044259,0.9666280822067399,"12803,13668,18221,6369,19700,18767,17303,15016,2653,534,19646,1094,12786,3960,8953,18327,14570,19740,3008,12096,2761,8206,4351,7768,9185,18302,5291,19300,16155,17258,7232,17519,5952,10065,11292,9485,3243,12487,2136,11657,14931,5598,1754,2151,16435,3813,16598,19484,16688,17095,8959,1727,17375,11801,5808,12369,7455,17025,18514,13206,13244,11884,5926,17013,17605,7387,1784,14823,19339,14639,13665,3560,5587,14067,11501,2811,15759,6551,19287,19703,19257,10601,1600,7487,17187,15861,14956,11201,17378,8461,4852,15749,828,14480,16967,7314,3775,6204,16579,11505,17562,14743,12433,19214,3781,14345,4024,8878,11477,13842,3542,18974,16015,18148,4001,9031,2594,17847,3298,9820,5253,12160,17542,6337,8038,4483,12807,18153,3435,10784,11942,108,2532,18770,1491,979,11154,11842,14234,17848,15961,8626,12414,2972,9482,18244,7794,14747,18038,15264,9531,11257,17875,14176,15466,3543,3220,14579,16558,5723,12545,12298,2220,14597,5116,3665,4581,15763,7264,8746,1931,18313,19721,15753,4918,15780,4213,11010,17325,16261,14977,4330,18434,3251,1607,18923,2797,9126,4547,1711,15371,16273,18526,17903,2412,9006,3329,5383,7641,2078,10466,4829,9864,13688,15718,7179,19379,12827,7444,9266,19330,5486,15600,8285,3515,13407,8176,15794,12847,3621,14184,19456,15729,905,6366,15768,10180,1192,19378,3371,2640,3597,6300,9414,6328,10893,17606,2400,7109,10475,13989,15611,17801,15875,2331,1853,4616,18080,3303,16455,16744,15992,16788,10727,7657,5530,11071,17746,6221,16623,3079,12875,10818,19830,19438,9567,18116"
0(t0)^0(t1) ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DISTANCE=t1.DISTANCE->t0.AIRLINE=t1.AIRLINE,0.00003079,0.9522189577856811,"19509,12090,11494,10942,12467,10442,11376,15003,9359,4601,10277,10780,1251,4983,12568,14260,1869,1922,15496,3789,15477,10436,9462,2067,17558,19477,11480,9648,15280,8961,6168,10072,13380,10670,8161,18797,10278,17117,2843,11573,2373,19256,18015,4892,16142,7930,13758,11066,7506,6059,14885,3308,14548,1474,11832,1114,5864,7191,17201,4465,5506,17428,9107,5272,11917,2824,17402,13704,4927,12253,5472,19871,11884,17823,15076,14975,3922,18570,3361,13381,15536,7931,6850,14821,1402,4593,17664,14405,18804,6064,15237,7172,1919,12141,1441,13804,14375,4332,918,9318,4361,9610,8332,7733,19253,9992,10612,8119,14624,9960,14438,852,7114,9771,11799,19113,5248,12520,13396,13855,15548,15807,3417,6031,3718,7523,14685,2804,10118,18455,19002,16449,3325,1092,17197,5354,7718,13460,1273,17302,11443,8801,869,4780,9282,11374,17229,3730,13022,12558,18328,18410,9496,12758,17681,477,15690,19495,9843,18363,16230,11303,8360,11361,14613,11020,15471,11964,13874,18245,11363,17683,1389,7007,11736,2560,12513,1876,12871,12995,3495,10458,19201,4731,15609,2975,1642,16234,13576,7036,14437,14073,18361,826,6628,7351,4067,3538,8716,17045,1902,13993,12763,1615,15578,17562,3000,3283,19642,6622,6690,1572,18356,16035,19251,14612,18205,5167,9521,12571,19135,18123,8770,19342,14359,16210,1537,14227,6166,16167,10242,1625,7654,17231,11927,10407,41,17372,3476,8811,6503,18009,5951,4515,4754,13128,359,1964,18,3155,7640,15733,10368,14880,19147,4796,14172,11207,2230,3700,121,9130,17397,3883,12694,17446,9617,18971,1472,6695,18649,11086,2466,17359,12296,14535,13681,6297,16949,10115,1001,1669"
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.AIRLINE=t1.AIRLINE,0.0000214,0.9562109025915997,"6031,6690,12520,3718,13704,9359,4465,15807,18455,1869,11303,19256,19685,5167,17231,11363,12763,2373,3000,14624,15003,13874,2267,17446,14274,7351,9648,9521,4780,17558,5951,19642,6628,8811,4880,7172,3922,4983,18205,12694,1092,10118,477,15536,10442,5542,3155,11736,19495,12141,14821,18570,3325,10436,2804,16210,15280,9282,18804,12995,18410,3883,6166,15609,16142,6168,14613,6695,11376,16949,18245,15477,19871,6059,1114,15578,13758,3730,10942,11361,12871,6503,13460,13576,4361,1472,15076,7640,7798,14975,9750,19253,8961,4515,18015,17229,14359,1474,2230,3789,1876,19135,11927,17428,9771,17045,10242,17302,5272,1402,9992,15690,4796,5864,14227,8977,852,3476,7931,18328,12568,16035,13380,14535,12558,18123,17823,2824,9462,11443,12467,14437,13804,15560,16234,17683,826,14073,11494,17397,1964,19251,1902,16167,9130,15548,10670,4754,13437,6297,7523,17359,1441,3361,9496,8897,7114,9617,8801,7007,2843,9843,14880,8716,18009,1642,13396,8119,9610,18361,1572,8770,17681,6850,7654,15496,10072,7005,14375,5247,1389,11480,10368,5269,10612,12513,1273,5506,16230,1669,1919,4593,4945,11573,9960,7718,14260,14405,18797"
