ree,support,confidence,error
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.DISTANCE=t1.DISTANCE,0.0004453,0.997089117778773,"4475,7263,1259,8082,8709,6373,2077,9520,1940,1584,9509,8617,1282,5760,5719,2415,5640,6769,2709,7455,8648,6037,9817,2132,7753,1333,5637,2331"
0(t0)^0(t1) ^ t0.DISTANCE=t1.DISTANCE ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT,0.0004453,0.9661951050164902,"3366,2265,4343,1487,2305,2729,1242,3542,9412,88,253,807,3210,2104,5318,5644,4041,409,3522,3888,2522,505,1761,2939,5007,2423,1697,5901,6076,8221,2401,3547,8975,8476,7247,255,4776,3831,7932,4793,7870,7409,4096,5286,7811,2261,7308,6625,2715,904,9379,2290,1282,9557,5721,837,2008,9364,1097,7953,6886,8118,327,4953,3852,9777,9565,8419,400,3792,1126,2255,4475,5211,543,507,3741,5108,9520,2555,4252,4679,10,7371,5541,4969,3203,3879,9011,5640,7462,2888,9955,1988,2254,8981,7807,207,5957,142,7842,6083"
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.DISTANCE=t1.DISTANCE->t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT,0.0004453,0.9673284963288005,"9482,2532,8176,3220,3560,8206,3621,2136,4616,2653,9031,3542,979,4581,5190,5486,5808,6369,3543,6221,8285,1931,9157,3597,8038,3813,1784,2331,3303,6300,8746,3781,158,7387,4829,3775,6366,1094,6204,1600,8845,534,2594,4330,831,7179,6328,2220,3665,828,7768,7264,8384,2412,1607,2400,1711,6337,8878,4547,3435,5383,7657,2078,3008,7444,3243,1727,4024,3079,3371,108,6000,5598,8213,9485,9531,8626,5723,3515,9567,1754,1853,5116,2797,5587,9126,9820,2640,7487,5291,7455,5253,9948,4351,2811,2972,8461,6560,7641,3298,1192,4918,5926,9864,1856,4852,3960"
0(t0)^0(t1) ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DISTANCE=t1.DISTANCE->t0.AIRLINE=t1.AIRLINE,0.00003154,0.9580801944106926,"6166,3283,9960,9668,4515,1389,1092,2416,3361,4927,7662,4593,1922,7733,918,869,2029,1537,7172,7640,7955,8770,1402,4465,9843,1669,8977,4361,1615,1964,8716,9462,3990,6059,4892,7930,1902,8811,3155,4332,826,7925,7234,946,5812,1919,7523,5167,18,4106,9750,6168,7114,477,8161,2466,6628,6397,9359,6297,4754,1441,3495,341,1869,9648,4780,1114,5472,6695,7931,8801,3730,9617,5272,3700,852,3922,1251,7041,4601,6819,7007"
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.AIRLINE=t1.AIRLINE,0.00002176,0.9602824360105914,"6059,7172,6397,1615,7234,9648,1919,4754,7931,4515,4465,9462,9843,5167,9668,7007,826,4593,8801,8811,6166,1092,1902,1869,2029,3922,7925,9960,5272,1669,6819,6297,852,7351,7523,1273,3155,1964,1114,8977,341,4780,3361,2416,8716,1402,7640,4361,7114,8770,6168,7005,3990,477,6695,9359,9617,1537,5812,6628,3730,946,1441,9750"
