ree,support,confidence,error
0(t0)^0(t1) ^ t0.LATE_AIRCRAFT_DELAY=t1.LATE_AIRCRAFT_DELAY->t0.SECURITY_DELAY=t1.SECURITY_DELAY,0.008045202222222223,0.9918891928508512,"20301,29644,23387,7159,3676,4094,13435,21347,12533,29692,26897,8712,6687,21526"
0(t0)^0(t1) ^ t0.AIR_SYSTEM_DELAY=t1.AIR_SYSTEM_DELAY->t0.SECURITY_DELAY=t1.SECURITY_DELAY,0.007859406666666667,0.9975258813624576,"12533,26897,29692,21347,13435,7159,4094,29644,8712,23387,6687,21526,20301,3676"
0(t0)^0(t1) ^ t0.AIRLINE_DELAY=t1.AIRLINE_DELAY->t0.SECURITY_DELAY=t1.SECURITY_DELAY,0.007072971111111111,0.9899140537672466,"29692,3676,20301,13435,7159,29644,21347,21526,23387,8712,26897,12533,4094,6687"
0(t0)^0(t1) ^ t0.DISTANCE=t1.DISTANCE ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT,0.00044466444444444446,0.9687959950422186,"19346,24357,23566,18396,15025,21326,13121,7811,18877,18074,1097,344,23855,23252,2715,24222,7371,18380,27938,10045,27976,27861,8221,18076,12689,5541,11210,59,22849,18344,6076,29834,19701,8975,14937,14594,2008,11021,2254,9509,26925,6886,10655,22884,12635,3888,5290,29943,22933,23587,23846,26120,25465,19342,22890,7462,5211,18672,14879,9011,22284,13088,15995,15213,22629,4679,19532,28875,449,18726,20926,16698,29228,2555,19230,12754,24013,22638,23069,19769,6553,10,16526,2595,25823,18793,9364,3255,24002,26574,2401,18704,9105,807,13430,27296,13457,15990,6907,2729,5721,11933,20915,26217,25704,16155,29845,17887,2423,20383,8650,1086,27051,25831,10370,22353,8082,12574,9557,4416,24440,5644,3831,25096,25215,19608,28240,16300,19707,505,7932,18140,18173,14438,6647,4776,24625,12171,11940,26729,4793,28150,26898,16067,28535,400,16134,9955,4475,12974,28095,28968,23937,19904,8136,28976,17828,8937,19567,19023,1487,15177,398,25033,6896,255,26961,19990,25558,22755,543,1242,10387,1988,20542,11851,22361,10361,14523,23296,253,18816,22974,5276,8141,24848,10786,2050,25477,21945,20788,23176,6083,18921,2261,10311,12861,1135,21559,10492,16716,28662,18732,22275,2939,2255,14615,5007,23015,15599,24043,3588,23237,6625,27663,18582,23578,23604,14979,15027,3741,2522,5996,20176,19981,18993,18398,29683,19635,142,20535,13225,9777,27310,19403,8480,21802,4381,9220,19534,5957,3210,3939,19362,24857,10238,1507,15409,29197,21664,11425,29479,9565,7526,4129,9520,2741,28628,28630,21781,13734,29025,837,11407,2265,1697,19127,4041,5108,21925,22475,18069,7870,21716,1282,7409,3203,2396,23596,8476,27448,14789,2290,1761,17610,25795,7308,17142,8118,20988,1126,27974,7842,3547,13777,17371,9412,2104,4096,26305,11121,5640,3063,29702,25792,28163,21021,5901,5318,3276,16804,26439,25764,16691,9390,13959,15014,27057,10889,4006,12391,20471,24807,15368,21905,22024,14245,8735,15896,26629,3879,11887,17667,26835,19569,29578,18859,25432,21499,12216,4343,3366,25324,2153,19336,26107,3852,2305,3522,18014,243,17931,7247,12236,27272,12349,10664,10497,409,28581"
0(t0)^0(t1) ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DISTANCE=t1.DISTANCE ^ t0.CANCELLATION_REASON!=->t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT,0.0102,0.9622641509433962,"24681,7005,9813,10026,28305,10834,9960,21908,29660,22618,276,29331,27891,23674,24430,17289,4230,17117,17372,21695,14652,29242,16293,10594,23278,1557,22814,4731,14352,22683,24211,19515,19657,22411,10049,2975,19119,27554,15744,29193,21304,21370,4352,10780,28429,15369,4744,41,22162,29198,29173,2861,26640,17334,22801,25009,8895,1625,11686,13022,16460,1753,10465,2487,26670,29801,12685,19334,19147,23089,5020,12975,23671,18113,10067,28320,7506,10504,24764,11478,26392,5199,5337,29998,10360,2452,5719,1471,18726,24880,22142,14043,3390,10930,28368,17085,29581,11518,29880,4559,28594,14741,9572,11584,15366,8492,29760,4385,24589,14885,24731,13381,5282,28662,14283,4272,21607,21706,3295,13439,10557,27243,13863,9277,25571,29958,24269,4834,2974,25330,27504,16087,8808,11216,16449,22197,29609,943,3508,21737,23712"
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.DISTANCE=t1.DISTANCE,0.00044466444444444446,0.9961121067303863,"14115,22039,8082,24180,10448,13372,7753,17421,15964,17477,17060,12616,17858,6037,26107,21997,21205,11331,19733,17121,5186,8709,22846,7263,12913,5640,1584,24145,1282,9509,11834,2331,25003,9192,12689,6373,2709,11071,17866,14233,2132,5637,20765,19757,18074,13203,19013,14121,7455,17563,23995,9817,21480,18816,10500,6246,15652,20145,27584,25635,22506,27239,19190,17036,20207,16620,17033,11604,16992,10479,21694,14414,4475,24447,10224,7673,9989,21244,22869,19723,4358,20918,18014,10484,16691,22091,8648,9520,21431,15778,16875,12208,8617,26136,15094,10168,25961"
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.CANCELLATION_REASON= ^ t0.AIRLINE=t1.AIRLINE->t0.DISTANCE=t1.DISTANCE,0.9772,0.9838904550946436,
0(t0)^0(t1) ^ t1.CANCELLATION_REASON= ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.CANCELLATION_REASON= ^ t0.AIRLINE=t1.AIRLINE->t0.DISTANCE=t1.DISTANCE,0.9752,0.9838579499596449,
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.CANCELLATION_REASON!=->t0.DISTANCE=t1.DISTANCE,0.01,0.9803921568627451,"23204,21522,2094,8773,21134,1544,29206,14477,28412,10780,16779,14136,6739,26746,15144,19196,20240,19515,29049,13974,26501,2686,28429,23907,5522,9464,19445,15369,22375,6770,1239,22858,10601,19956,18844,6411,23634,6197,25126,22304,15479,2837,17917,7513,16875,10556,10252,29610,2797,10643,16348,6792,3290,24093,23815,4519,2406,25684,1363,9031,394,15835,3572,16189,2709,18077,1490,13923,18463,15759,26128,4595,6816,9309,14668,4935"
0(t0)^0(t1) ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT ^ t0.CANCELLATION_REASON=B->t0.DISTANCE=t1.DISTANCE,0.0082,0.9534883720930233,"25684,29848,9095,12965,29794,22736,12771,23763,11287,7374,24272,3396,181,2458,292,5095,15381,7962,9329,22719,20547,3884,14136,18786,1742,14886,9534,14369,5522,20890,15983,10982,28059,18602,11670,5052,26298,27979,15106,6954,17024,24536,18699,20997,20725,26958,19528,15006,15567,17972,10556,577,12685,4516,16422,11294"
