ree,support,confidence,error
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.DISTANCE=t1.DISTANCE,0.00044259,0.9952999910047675,"15778,10482,11834,6373,9520,13372,11092,16992,2132,7753,19757,17477,5760,16861,7455,13203,11604,4358,17858,1282,8648,2709,19723,8709,6769,12913,2331,11331,17563,6037,10448,16620,12208,10479,14233,17036,18816,16117,15964,7263,10224,17866,17060,5637,10168,10484,19190,9509,16875,19013,4475,18014,8617,17421,14414,19733,9817,5186,8082,10500,15652,14121,14115,10884,12689,1584,11071,17033,18074,17121,12616"
0(t0)^0(t1) ^ t0.DISTANCE=t1.DISTANCE ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT,0.00044259,0.9682669904505627,"253,14937,6076,3203,9220,14245,18024,19707,2888,15025,10311,18344,12148,14615,16526,15990,14879,2265,19769,19342,8141,1097,7409,18726,807,2050,19230,18993,10889,14847,5721,1135,17640,11940,7308,837,5318,11378,19346,13046,400,14979,11210,3547,3210,17087,543,5474,8975,8698,8118,19403,10238,10361,13430,16020,12861,15368,16134,3366,19904,9955,3831,17828,5108,18877,9379,10786,10,9557,11121,306,5286,15027,11021,12635,11425,11690,12574,13734,3852,6625,11933,11887,6647,15599,2419,18173,19532,15409,5290,19990,10492,14239,369,12349,5640,6983,5901,18140,5957,12531,7932,2939,18251,10045,2729,9364,17667,15892,3063,18396,17887,255,7842,12236,14789,3522,1126,15014,18732,3542,7371,19569,9147,4129,13088,15896,19336,6553,2255,2741,2008,5185,5796,2522,18921,2261,18380,9412,14438,15317,6907,13225,18670,13829,7870,8735,17916,7953,1487,16691,4679,14523,1697,10864,2715,4776,3792,1988,17142,505,1761,19567,19981,1282,8221,2555,15213,19534,3888,19127,3741,11636,2290,18793,2305,8136,9520,3879,10881,19701,11407,2254,2423,15348,4096,409,2659,16716,7087,19608,12974,13514,3255,7462,18672,18816,2153,16155,10823,13121,17291,5007,1242,17371,13959,16698,9777,5996,4625,5406,10370,9565,7807,7526,4793,6083,10655,459,15177,13457,7811,9011,8650,1318,4041,4343,2401"
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.DISTANCE=t1.DISTANCE->t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT,0.00044259,0.9666280822067399,"13842,6337,16273,17542,3597,1711,13665,9006,4483,108,14480,11257,19287,11842,5587,6366,3251,19438,2331,14743,3621,15780,4852,3960,11201,3775,4213,7487,5808,4918,3515,15961,5723,16558,16261,13688,9266,4001,828,12414,17562,4330,2400,4829,18148,12545,17801,10065,18313,19379,11505,3329,7657,1094,5383,10784,11942,2220,10180,16598,15861,5486,4547,15466,3435,3298,1600,18080,14977,15016,11010,14823,1727,18244,12369,11884,11292,9567,6221,1754,10466,8626,15718,12847,14184,12487,9185,12298,16155,14345,16455,6369,16015,14956,18767,3813,7179,12875,15264,3543,6551,9126,10818,9485,8176,5530,15749,7641,2136,11657,2412,17605,4616,17848,2151,2078,16623,7768,17375,8038,979,11801,5253,15763,3220,19456,18434,2532,1192,6300,18514,19339,14234,9531,19300,19721,15992,2797,2811,19330,15371,3542,1931,11154,7109,10727,14931,18038,1607,18770,7314,5291,17258,8878,16688,16435,18327,10475,12807,19378,12096,3303,7455,17013,14067,6204,15611,6328,4581,13407,3665,2640,17875,19646,8746,17025,19484,17606,12803,19740,11071,5598,3079,3560,19830,15794,14639,17746,14747,10601,14176,8953,11477,13206,2972,7794,12433,16967,3243,9864,17325,5116,17187,17378,17903,18302,5952,9482,534,3371,3781,2653,19257,15875,3008,14579,15759,1784,1853,10893,12827,13244,19700,15729,9820,17095,4024,4351,12786,1491,19214,18526,8285,13989,16788,18116,18153,7387,18221,9414,16744,18974,905,7232,11501,18923,15768,8206,14570,17847,8461,16579,9031,5926,17519,7264,19703,13668,12160,14597,2594,15600,15753,8959,7444,17303,2761"
0(t0)^0(t1) ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DISTANCE=t1.DISTANCE->t0.AIRLINE=t1.AIRLINE,0.00003079,0.9522189577856811,"11736,15548,11303,17359,4731,11363,12558,8161,15496,17558,359,8716,7931,1389,1537,1919,11494,19642,6168,14685,1001,10407,7640,18570,2466,7007,13396,7523,9107,14438,8770,11917,41,7191,11374,18363,2824,5354,12694,18,5864,2804,17402,11884,11207,17681,11376,9617,16449,18245,10242,2843,1922,7654,10072,4515,10436,14359,10118,11799,14405,15536,15578,14885,11066,18328,1902,14548,13993,19509,9318,7733,3283,5506,19251,15237,9960,826,2230,17197,13460,12296,13380,14073,13874,869,7506,3718,9843,13022,14624,14375,13758,14880,15609,3495,19253,9610,1472,19002,11020,2560,12995,18123,10115,10670,18971,11573,17823,18797,19256,14535,17045,4983,3361,1273,18205,15471,1964,1092,11964,1114,14975,5272,4754,1441,12513,477,4332,12141,15280,12090,3325,1572,121,13804,19477,9130,8961,5248,12520,3883,19342,6297,17229,6059,11832,6628,10278,17562,1669,17372,17201,1251,4892,9648,5951,16035,9282,10368,6064,3538,12763,9992,4601,1402,10458,13381,18410,8119,4780,17117,17428,17397,10942,7114,16142,14612,12871,8811,3476,7172,15807,13576,1625,2373,3730,12571,3789,18361,4361,11443,9771,8801,1869,7930,3308,1876,14172,12758,14821,4465,3922,14227,18015,13681,10442,7351,6695,19871,19135,4927,10780,6031,8360,6850,2975,15076,4593,9462,17231,18455,13128,8332,4067,4796,3155,16230,14613,11086,16234,11361,15477,18356,5472,13855,1642,19495,6690,12568,11480,17664,10277,11927,3417,17446,19201,10612,17302,16210,18009,2067,16167,17683,7036,14260,15690,14437,918,18649,6622,9521,852,3700,1615,6166,18804,16949,15733,7718,3000,19113,6503,5167,15003,19147,12253,1474,13704,9359,9496,12467"
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.AIRLINE=t1.AIRLINE,0.0000214,0.9562109025915997,"16234,7172,6690,18455,11573,14821,5864,7640,6166,3922,11361,4945,852,9496,12995,7114,4754,6059,12763,14359,10242,10612,15477,6628,12558,9610,9521,2373,1472,4361,19253,1273,18205,17231,15578,11494,16035,5272,6695,14375,2804,12520,826,17045,19685,13874,7523,15076,14274,12568,9359,14624,17428,1441,17683,17446,3730,12141,3883,8716,17681,1572,9843,14260,7798,1642,3000,3155,16949,9648,4780,17558,13804,1389,17359,2267,19256,1876,15536,15548,10072,18015,13460,18361,18009,1919,6850,7654,13380,11443,14073,7351,9992,10942,1402,2230,10670,4880,6031,9282,1869,10442,11480,16230,19871,15609,6297,14405,6168,11736,3361,17302,5951,13758,5542,18410,4593,9130,9617,12871,9960,18570,16167,5506,1964,10118,4465,1114,10436,15560,18804,13704,15003,18123,18797,14880,14613,5167,477,8801,8811,19642,19251,14227,13396,13437,7007,17229,17823,14437,14535,18328,2824,3325,17397,19495,3718,7718,1092,7005,4983,5269,11303,18245,8770,12467,1902,12513,1474,8977,1669,3789,12694,3476,4515,8119,6503,9462,9750,16210,15690,11363,5247,15807,9771,7931,10368,4796,8961,19135,8897,14975,15280,15496,2843,11927,11376,13576,16142"
