ree,support,confidence,error
0(t0)^0(t1) ^ t0.LATE_AIRCRAFT_DELAY=t1.LATE_AIRCRAFT_DELAY->t0.SECURITY_DELAY=t1.SECURITY_DELAY,0.0079811536,0.9906817874658687,"12533,35588,3676,7159,40829,23387,21347,4094,32571,32461,47170,42263,29644,6687,42761,30662,13435,34688,46599,26897,34169,8712,48373,29692,43454,41733,21526,20301,30833,37670"
0(t0)^0(t1) ^ t0.AIR_SYSTEM_DELAY=t1.AIR_SYSTEM_DELAY->t0.SECURITY_DELAY=t1.SECURITY_DELAY,0.0076278776,0.9952364619574543,"4094,13435,21347,12533,43454,23387,26897,47170,42263,34169,34688,48373,29644,29692,42761,20301,40829,35588,30833,41733,46599,32461,7159,37670,8712,6687,30662,32571,3676,21526"
0(t0)^0(t1) ^ t0.AIRLINE_DELAY=t1.AIRLINE_DELAY->t0.SECURITY_DELAY=t1.SECURITY_DELAY,0.0070832072,0.9874535312357421,"6687,29692,37670,23387,3676,12533,32571,41733,26897,46599,30833,48373,21347,43454,4094,42263,7159,30662,8712,47170,21526,34688,20301,40829,42761,32461,34169,29644,35588,13435"
0(t0)^0(t1) ^ t0.SCHEDULED_ARRIVAL=t1.SCHEDULED_ARRIVAL ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.CANCELLATION_REASON=A->t0.SECURITY_DELAY=t1.SECURITY_DELAY,0.0052,0.9629629629629629,"41137,33947,32792,29514,34786,25211,5342,48587,15424,20494,35798,45185,20589,44423,22975,41736,44603,4555,17151,3211,39151,45442,19627,11924,37734,14888,28338,28343,43487,14317,7630,13381,14062,39616,36166,36535,1375,37818,16967,30715,37129,15266,30133,13306,32841,10941,31014,46450,9514,8808,40804,45202,20432,19592,45173,19956,8975,35671,9241,1947,35621,2406,31900,33022,10594,10307,29581,35456,35606,4732,18406,29412,5322,40161,22411,39504,14833,17505,25583,47361,18908,15712,7094,24218,47536,27506,46231,32651,9350,20099,47543,14036,11734,14493,37701,35094,45165,36377,17635,31977,42841,29262,11241,4737,7602,32507,40281,15759,16828,2802,20950,49200,40763,12495,37747,23061,12910,35221,5249,26709,3690,7493,1811,49144,1584,48312,22398,19525,13706,12149,7182,44608,27465,40414,10379,6910,36238,32037,14192,4699,28373,3666,8287,1490,13649,45836,34611,25138,33332,49162,10599,4890,25355,45054,30646,14948,45700,24235,34288,9277,19645,8306,3263,37898,24296,41001,16274,20592,39294,25388,31559,30876,23359,18844,7016,47672,17147,43131,42229,1110,37761,43739,7761,28616,40391,36957,22067,23382,15049,45994,23606,1091,18092,9717,46239,30081,44682,17294,7452,30457,15369,36203,4133,39992,4210,8448,24456,14841,4553,11189,39405,27232,8295,18135,31046,7976,21105,9031,17843,823,37839,13809,1335,35638,14885,39487,14043,2965,29748,35755,13128,45008,1404,15611,1278,38444,23422,11514,23318,34677,35849,37854,29820,22748,49405,33530,37564,36224,10158,42683,3432,46294,48254,22162,9683,37434,6796,6632,10445,49503,47791,21728,18483,20197,14635,18686,45937,15359,38925,27558,28531,10590,30479,39623,49287,5543,12406,4581,24090,28739,8302,24430,42534,15600,34724,21498,20669,40616,22801,8895,46412,21134,35223,16391,21370,12978,15254,41294,23001,37232,784,32638,3692,35142,4113,14677,39415"
0(t0)^0(t1) ^ t1.CANCELLATION_REASON=B ^ t0.SCHEDULED_ARRIVAL=t1.SCHEDULED_ARRIVAL ^ t0.DISTANCE=t1.DISTANCE->t0.SECURITY_DELAY=t1.SECURITY_DELAY,0.0084,0.9767441860465116,"15211,29070,48463,20360,6539,27026,10818,15895,16496,42279,23945,41624,47180,27037,39357,19849,32297,14725,2861,38648,15699,23047,29291,28029,27613,19515,47510,18561,15645,47887,31844,13294,2851,8773,27673,6234,37187,34353,23804,42167,24839,7141,33672,17693,22348,40657,39344,12790,31931,42801,29848,16460,20407,47090,37101,26061,4027,41550,8133,6047,9319,11264,45681,9366,43176,4935,23251,15522,41449,18952,19175,2324,27477,20969,38376,16268,10335,17988,23895,28192,38974,38283,49853,39805,734,21356,14537,3945,23949,11807,35694,23868,42899,1508,10596,26944,41351,12544,25344,32944,36299,9974,7308,25684,41617,13818,12908,4045,16473,13435,23297,10780,12406,39053,42298,12833,21863,20206,28429,612,36470,49806,18825,38592,10854,31397,39632,10433,12965,47229,46077,11280,17192,19914,10858,35188,24218,35946,24717,20641,30953,42709,41707,45967,14910,32185,39917,16973,11996,22469,15006,43988,14608,22142,9644,38330,41116,11279,21417,24720,46013,6153,3330,15311,46274,7537,49795,42559,11488,29954,45560,34567,14653,30414,2071,48611,33353,37850,16389,25610,34638,39256,30516,15802,11023,45825,4087,15261,30059,27815,2741,29343,13540,14136,27116,476,14103,43884,14555,15744,46052,1793,48329,12462,3508,14422,6939,46842,36305,36194,47520,29317,45655,22033,44312,2468,9865,26670,2885,40787,38205,14467,10982,18043,31959,44959,3163,2707,9996,45177,7687,31497,3030,7046,8548,24923,1758,15460,42212,22847,8563,48991,45673,2479,28266,1238,27739,390,23278,42405,15225,31047,12398,46532,9649,8957,27044,4340,48542,3001,39183,41434,8941,2644,34689,47901,18341,18553,37156,19728,42138,2079,10984,15340,14567,33414,1904,18863,47199,24997,13022,21475,30124,28011,20538,4256,9454,9534,6260,15045,43517,3583,1849,21873,36855,6014,41201,28960,14675,15950,22570,24800,14697,900,12079,20234,10868,845,38927,24251,1731,18227,37536,1981,6849,36279,14283,3340,23567,12685,22923,23248,25205,44846,2090,7620,49797,21644,29794,4595,30631,9600,11675,27242,38703,34606,28176,48878,11588,41260,39655,21659,24272,44245,36094,30849,40340,43385,19050,11552,9226,26125,42068,4363,7584,20742,31074,26060,24172,30947,41933,10640,32225,41353,44852,18384,47040,35932,46211,44431,8359,49101,39212,45334,29457,37311,44599,42459,37681,41220,554,6655,46553,20622,10521,32340,20554,45843,43553,3194,4012,16517,25172,27488,37477,16449,3396,2464,30958,24684,2709,11982,32640,16875,3267,24439,31758,17431,48121,47970,760,29173,49704,18812,2038,18641,31744,27219,26514,15768,37589,33488,541,4705,44173,24764,9604,16528,49271,6407,13271,15835,3042,9440,19624,18884,23322,24216,28320,8270,36550,47979,37682,32889,20527,13237,39075,49377,29657,34571,278,40826,29049,29278,34173,2969,21363,6256,49294,20032,11420,3594,32392,49995,22948,11619,34867,29941,32515,5234,18431,13439,2281,19647,42127,21109,14672,35016,32936,9200,30146,23276,19528,33053,10458,20725,5522,28361,33806,35285,30684,1753,44375,28059,35004,36498,27979,577,6020,24637,21661,10250,10043,45323,18638,42400,33948,43343,13273,29430,4267,35767,7404,3367,42571,7962,24880,49084,17464,9309,6120,1535,46091,47696,32569,40683,3037,39903,36412,23782,20547,45608,26701,41180,24097,25624,29831,12046,6473,37849,43909,22736,9183,29392,46720,29610,19115,17085,22089,15364,25211,25846,4352,6448,32582,44875,11670,19555,12003,27725,5448,6122,12765,39407,45518,40337,17947,5905,43418,36008,30379,24222,30726,2094,23312,18396,25663,4574,47364,42277,10247,25108,31887,7855,41626,23612,41889,25603,20793,31040,23874,35998,34318,14668,44302,3218,33185,6506,27201,39095,43287,37627,34903,37696,7575,26506,17972,35325,6347,15335,23095,44016,32559,15281,11341,35817,7792,1615,10601,3481,12185,42398,19209,824,47399,25698,30540,15304,35273,1329,232,16348,7722,36840,30666,6411,48606,22863,36147"
0(t0)^0(t1) ^ t0.SCHEDULED_ARRIVAL=t1.SCHEDULED_ARRIVAL ^ t0.DISTANCE=t1.DISTANCE ^ t0.CANCELLATION_REASON=B->t0.SECURITY_DELAY=t1.SECURITY_DELAY,0.0084,0.9767441860465116,"38205,9454,14653,30379,45323,21363,7308,4574,42899,28266,20641,1793,29831,41434,49271,43988,15225,26514,7537,11982,45334,1758,3396,33353,3367,31931,45608,32569,1753,46532,44302,19647,11023,20793,32297,39075,47520,16528,2094,25684,10433,5234,28429,13271,31887,31047,15802,24439,34318,18952,6655,31074,36470,22847,23804,44016,1329,554,7722,3330,31844,47979,5448,36412,29317,17988,42127,36147,21475,42801,11264,44312,27725,23322,12833,43176,845,29941,17464,40683,8548,6153,6347,23949,37477,22863,32944,31959,14555,27201,14675,10458,29657,33488,20969,46842,900,23251,10247,4267,11588,42559,22736,44959,26125,23278,39256,16268,3001,1508,37101,29343,27037,40826,36094,45655,36279,15835,16973,37311,4363,8359,3481,1904,47887,39183,11279,10335,38592,36498,30540,27219,48121,41260,14608,22033,12462,40657,11488,18227,21109,4027,35817,20554,541,21661,27815,34867,12079,37156,3037,15304,9649,30684,30516,33672,2741,11807,17431,25603,39053,42068,24218,476,40340,15211,40337,33185,26061,20032,37589,7792,18431,23782,30414,23874,30631,35016,10780,47970,34353,3508,26944,9644,28192,4595,7141,26701,18863,6020,18043,2861,7687,6234,27488,23895,41933,21356,38283,37682,26670,21863,11675,17693,18638,43343,37849,36550,42167,43884,44245,2969,49704,6448,42709,29610,13439,36305,15311,27739,20407,25846,24839,47180,17085,31040,23047,28029,46091,35998,14467,23312,43553,24216,31758,18553,46274,35325,27477,42459,47901,232,19515,24720,37187,48606,13022,42571,3218,18825,47090,4256,14725,30947,6122,45518,2281,22948,12406,11420,49995,1849,45843,37627,39917,18341,32225,278,14136,20360,35694,30124,35285,32640,10984,4340,36299,35946,7584,3340,2079,35932,49853,9366,41889,24172,12046,10854,14567,37536,4935,30059,6260,28011,9974,25211,12544,39095,4352,14283,43385,760,29049,30726,48878,24997,7046,34606,44431,9319,35767,390,24923,20206,38974,10868,42138,48329,11996,29954,17972,29291,2644,10250,3945,24717,39212,577,23567,42398,41351,13435,2464,30666,34571,49795,43517,15335,24684,32515,21873,41353,27116,22469,13273,39632,47040,30953,19528,28176,32185,36008,25344,5905,45560,23248,1981,34689,6256,20547,41220,14422,18561,15340,15045,6939,4087,2851,15950,45673,3030,15645,38330,8563,2090,44875,38376,14697,32936,13818,20234,31397,47696,30146,2707,8270,10521,10982,39407,23945,734,42400,42279,41626,11341,8941,9183,46720,3042,11619,15460,19175,2324,6539,14103,27613,48991,41201,11670,26060,18396,41116,19624,7962,39344,612,49797,6120,41617,44846,13294,41180,11280,12965,29430,45967,20725,39357,32582,28320,47364,23276,16389,29794,34638,30958,42212,29173,30849,37696,44852,24222,11552,14672,49806,24880,3594,19050,25172,16449,25205,9200,29392,24637,12765,41449,42405,9534,20742,38927,27242,7855,22570,16460,18641,10596,47510,2479,49101,15895,17947,47199,47399,41624,824,22923,15261,49084,44599,10601,42277,7575,25698,35004,6849,46211,15522,6473,4012,34903,48463,48542,2468,9226,20622,24764,12790,12398,33053,32559,3583,25624,48611,13540,1238,38648,38703,24251,43418,15768,44375,42298,46052,29070,8957,2038,19555,28361,45825,15281,23297,12003,32340,32392,10818,19209,6411,3194,40787,34567,15006,45681,14910,19115,49294,16496,31744,44173,16473,18384,19728,20527,8773,6014,33948,39805,7404,35188,49377,41707,25108,29848,36194,14537,39903,10640,9440,12685,12185,21644,15744,25610,35273,23612,43287,17192,1731,28960,19914,10858,2885,3163,9865,9996,43909,2071,1615,6506,23095,34173,3267,14668,21659,21417,9604,4705,24272,18812,5522,26506,29278,1535,41550,29457,8133,10043,7620,36840,22142,9309,19849,24800,27044,27026,27673,9600,16348,36855,46013,27979,6407,23868,33414,20538,6047,45177,47229,46077,31497,15699,16517,37850,16875,15364,39655,33806,37681,13237,32889,22089,4045,46553,12908,18884,25663,24097,2709,28059,22348"
0(t0)^0(t1) ^ t0.WHEELS_OFF=t1.WHEELS_OFF ^ t0.SCHEDULED_ARRIVAL=t1.SCHEDULED_ARRIVAL ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.CANCELLATION_REASON=->t0.SCHEDULED_TIME=t1.SCHEDULED_TIME,0.999,0.9991998399679936,
0(t0)^0(t1) ^ t0.SCHEDULED_ARRIVAL=t1.SCHEDULED_ARRIVAL ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.CANCELLATION_REASON=->t0.SCHEDULED_TIME=t1.SCHEDULED_TIME,0.9498,0.9658328248932275,
0(t0)^0(t1) ^ t1.CANCELLATION_REASON= ^ t0.SCHEDULED_ARRIVAL=t1.SCHEDULED_ARRIVAL ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.CANCELLATION_REASON=->t0.SCHEDULED_TIME=t1.SCHEDULED_TIME,0.946,0.9657002858309514,
0(t0)^0(t1) ^ t0.WHEELS_OFF=t1.WHEELS_OFF ^ t0.SCHEDULED_ARRIVAL=t1.SCHEDULED_ARRIVAL ^ t0.DISTANCE=t1.DISTANCE ^ t0.CANCELLATION_REASON=->t0.SCHEDULED_TIME=t1.SCHEDULED_TIME,0.997,0.9971994398879775,
