ree,support,confidence,error
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.DISTANCE=t1.DISTANCE,0.00044259,0.9952999910047675,"8082,19723,18014,18816,17477,10484,7753,5637,18074,10448,10224,13203,12913,17563,6769,9817,8648,19757,19733,17033,14115,15778,1584,16861,7455,1282,19190,14414,17866,17036,2709,2331,12616,17421,6373,5760,13372,11071,8709,14233,12689,9520,12208,17121,11834,4475,2132,10479,4358,14121,8617,10168,10884,11331,16875,15652,19013,10482,7263,15964,17060,16992,9509,10500,16620,5186,6037,11604,17858,16117,11092"
0(t0)^0(t1) ^ t0.DISTANCE=t1.DISTANCE ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT,0.00044259,0.9682669904505627,"11425,7932,17291,1135,13088,19769,5996,12531,3210,9412,11933,7811,13959,15599,9565,1988,9364,253,2254,16691,3879,18251,6076,18380,3852,17142,9220,14615,19127,19904,18793,8650,19230,8136,807,18396,5406,14523,14245,7807,7526,837,5474,19569,17371,10370,1697,14239,5185,14438,18140,5286,4343,19336,10889,15348,13046,15990,7371,18173,3522,2939,19701,12148,505,4041,11636,15368,15027,9147,19532,4793,1761,15025,16020,15014,2729,17887,2741,5108,1097,5721,3063,12349,11378,4625,18670,3888,1242,9777,306,10361,5957,2305,12236,6983,3203,2659,2555,2423,16698,5007,11887,9011,9379,255,14937,1318,1487,13457,3792,6625,16155,14979,8735,8698,2419,12574,3831,3255,10864,3366,19346,2261,16716,18672,3542,18816,12635,19342,2255,2153,2008,18344,369,7087,6553,4129,19608,2290,10238,7409,459,10786,17667,19403,9557,14879,13829,15177,1126,7870,18726,10823,17828,2050,10,8118,4776,10881,11940,11210,11407,5290,15213,6647,8141,7462,11121,6907,12861,18732,16526,5796,3547,2715,15409,14847,19534,543,10655,13430,8975,4679,17087,2522,19981,10492,13225,17640,7953,18993,5901,3741,400,19567,15317,15892,19707,1282,409,2888,9520,19990,18877,17916,10311,5318,4096,10045,7842,13514,11690,6083,18921,2265,13121,18024,2401,5640,12974,9955,7308,11021,8221,15896,14789,13734,16134"
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.DISTANCE=t1.DISTANCE->t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT,0.00044259,0.9666280822067399,"2972,16967,18302,14480,12847,12414,19438,108,19646,9567,15794,9820,15759,7387,1754,4213,3960,17562,10601,3597,5926,18327,8176,11942,3775,17378,15264,8461,12160,979,3515,10818,8959,18080,14176,2532,16261,17606,3329,16744,2136,9414,17325,12298,2761,14743,5530,3781,9266,12803,1600,19484,8285,15861,19721,11884,3251,10727,6337,10065,2220,6300,5952,11201,14931,11154,828,11657,1784,19300,1931,534,14234,5291,19330,16598,19379,1711,3435,18148,5486,14570,3542,18514,2653,14823,13244,14579,12433,3621,16688,17746,8206,19830,17375,12545,2594,8626,1853,14597,7641,16015,15753,17095,11071,9126,7657,13842,1094,3371,4852,14747,4001,17847,10475,17542,3079,15729,2797,15016,16788,8878,5587,11292,14639,17303,15992,5598,6551,16623,13206,7794,16435,15749,19703,7264,6204,12096,6366,15875,17605,5723,4351,5383,3543,12827,16273,11842,19287,8953,10466,15611,19740,2331,11477,2151,6328,7109,14956,9531,15600,7179,1607,5116,14067,17801,15466,2078,9864,15780,18116,4918,18221,7487,18153,4547,17013,1727,4330,13665,3220,13688,16579,16455,2412,15763,5253,19257,4581,18313,4483,1491,15371,10784,6221,7232,7314,10893,19214,18974,2400,19339,9485,19456,16558,4616,15961,11505,1192,5808,17519,9031,4024,17875,13989,17187,2811,11801,3813,3665,10180,18244,14977,11010,13407,13668,8746,18767,6369,7444,12875,3243,7768,15718,3298,19378,14345,14184,17903,3303,9006,12807,15768,2640,12369,4829,8038,12786,18038,9482,3008,18770,17258,905,11257,7455,9185,16155,19700,18923,17025,18526,3560,11501,18434,12487,17848"
0(t0)^0(t1) ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DISTANCE=t1.DISTANCE->t0.AIRLINE=t1.AIRLINE,0.00003079,0.9522189577856811,"3417,10436,11376,17683,3700,11927,15477,17231,17562,19251,10458,17428,18971,7191,2560,15690,1876,5354,18570,1919,4983,12871,2230,10118,16142,11964,7733,4731,10942,18328,11799,17664,3283,826,19495,5951,3538,19002,9610,19253,6064,4892,14260,10612,18363,9960,11066,9648,3000,7351,6628,16449,11086,12467,3361,19871,19147,4332,16949,7506,10368,15609,13758,7931,8770,12520,12141,12995,13460,13874,4465,1114,14359,1922,11374,19342,7654,18455,8161,9843,4796,17446,18410,17402,18,13681,9359,8811,8801,4361,11363,2067,2824,3718,15471,15807,17823,2466,14438,13128,10670,11480,16210,1273,13396,14227,13804,8716,1441,1389,1537,16035,18361,9992,14975,10242,11494,18205,3476,14405,3730,12558,18649,13993,15733,10277,4754,5472,3789,2975,1251,1402,16234,9318,14821,10780,18009,1472,121,9771,10442,14613,1092,869,11884,17681,7718,5864,3922,7930,19201,1902,11361,6622,9107,6166,1642,11443,6031,15237,3325,14548,12296,1001,14437,19642,9282,15076,1615,7523,4601,1964,13704,2373,17558,14685,7007,19509,18245,14535,6503,1625,6297,14073,15280,17117,7114,8961,1474,12758,13576,3883,12513,359,15578,17045,4515,8119,7640,11207,11736,13022,19477,6690,1869,13380,3495,14624,15003,13381,17197,9617,14880,41,9462,19135,6850,11573,11020,12763,5167,8360,18797,6168,17359,2843,18356,2804,9496,4067,12253,3308,852,918,12694,6059,18015,3155,10407,13855,7036,14885,6695,4927,15548,1669,10115,17372,17201,11917,15536,11303,16167,1572,12571,10072,15496,19113,19256,7172,17229,16230,477,5506,4780,5272,11832,14375,9521,14612,18123,12090,5248,18804,10278,14172,12568,8332,4593,17397,17302,9130"
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.AIRLINE=t1.AIRLINE,0.0000214,0.9562109025915997,"15578,17045,17558,9130,13874,1669,15280,4945,1902,16142,6031,18015,9843,5506,16230,14880,14975,9282,19642,3476,16949,8716,1472,12520,11494,10442,4593,13380,15690,16234,7172,18804,6695,12141,19251,11303,15807,7798,8801,11363,17823,3000,14437,4796,19495,6297,14260,14227,1964,1114,1273,18009,16035,9992,11443,13758,14821,9610,15076,9521,9771,17229,8811,3789,16167,4361,15477,10242,8897,18205,11480,9462,9496,2824,16210,17683,7931,9960,17681,15003,5247,477,18797,17428,8977,18455,1869,19253,14535,11573,8119,19256,17231,8770,17397,10942,15560,12995,12513,6850,4465,12763,15548,13804,14613,1441,4983,852,6503,10612,18410,10072,12694,1474,2804,3155,14359,7718,6166,7114,9359,9617,3325,1389,1919,9750,10368,7523,11927,14375,1572,4780,5542,6059,1092,10118,13460,6628,3922,2373,7640,3718,11736,19135,826,19685,17359,3361,4515,8961,18570,13396,7351,17446,12871,11376,12467,7005,14624,18361,14073,2843,6690,12558,5269,11361,10436,18123,18328,14274,17302,4754,15536,15496,6168,13576,1402,13704,9648,3730,2230,12568,5864,7654,18245,5951,10670,19871,4880,14405,7007,15609,1876,5272,13437,1642,2267,5167,3883"
