ree,support,confidence,error
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.DISTANCE=t1.DISTANCE,0.0004453,0.997089117778773,"2132,8648,1259,2331,8709,2415,6037,8617,9509,2709,1282,7753,2077,6373,5637,1940,9520,5640,6769,1584,5719,7455,4475,7263,8082,1333,5760,9817"
0(t0)^0(t1) ^ t0.DISTANCE=t1.DISTANCE ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT,0.0004453,0.9661951050164902,"2255,3852,4475,2254,7247,1487,3547,9565,142,9011,3203,6625,6886,7462,2401,5644,3792,3888,4096,2261,3366,9557,8221,5318,7842,9379,7308,4343,4776,5640,5541,7371,400,4679,543,3210,3741,327,88,5286,2555,4041,6083,9955,5211,7409,2305,2008,9364,2715,2423,7807,1282,3879,253,4953,2888,409,3831,1761,7932,505,7953,3522,2104,7811,807,2290,1097,6076,207,5957,8975,1697,8981,9412,3542,5007,2265,255,1126,4969,8118,4793,904,2522,5108,7870,5901,8419,10,507,4252,1242,1988,837,9520,5721,2729,9777,8476,2939"
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.DISTANCE=t1.DISTANCE->t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT,0.0004453,0.9673284963288005,"3220,9157,7641,5486,3813,4581,9485,1856,8845,979,8746,3303,1754,2640,2653,8285,2331,1853,2220,3597,3543,1600,1784,5116,4616,2400,5291,9531,9126,7444,4351,9482,1192,9031,8878,3079,4852,6560,108,7264,7387,5253,8038,5926,8461,4024,3560,9567,5808,3435,9820,3298,5723,3008,4547,7657,6000,2594,4918,1727,9948,6204,5383,3542,1711,6300,2972,1094,8626,3243,4829,8206,6366,5598,534,3781,6221,6337,2078,5587,7179,158,8213,7768,5190,831,2412,2797,828,2811,1607,3621,4330,2532,9864,7487,7455,6328,3775,8176,6369,3515,8384,3371,3960,2136,3665,1931"
0(t0)^0(t1) ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DISTANCE=t1.DISTANCE->t0.AIRLINE=t1.AIRLINE,0.00003154,0.9580801944106926,"6819,946,4593,7733,1537,4465,9648,4361,7041,1869,9668,7640,6166,5272,9750,1389,8161,1669,852,9843,3922,9359,4927,5812,918,7172,7925,7930,1922,1402,4106,5167,3283,341,4332,6059,8977,7234,6168,7114,8716,9462,6628,8811,2416,18,1919,1964,8770,4892,7662,2466,7931,3700,6695,4754,826,9617,9960,1251,3495,4601,6397,1615,5472,3155,6297,477,4780,3730,3361,869,8801,1902,1092,2029,7955,7007,7523,3990,1441,4515,1114"
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.AIRLINE=t1.AIRLINE,0.00002176,0.9602824360105914,"4465,1092,6059,826,1869,3922,7007,6166,8801,2416,4593,9960,5272,8811,7925,3990,1615,9750,6397,9648,3730,7523,7931,852,477,8977,5812,1669,1919,1114,341,3155,6628,6168,8716,7005,1402,2029,9462,5167,1902,946,4361,1273,1441,7172,3361,7114,9359,6819,1964,7351,4780,9617,9668,1537,8770,4754,9843,6695,7234,4515,7640,6297"
