ree,support,confidence,error
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.DISTANCE=t1.DISTANCE,0.00044259,0.9952999910047675,"7753,6037,11092,17036,18816,18074,6769,11071,2132,10479,8648,6373,17866,10482,13372,14115,17477,17033,10484,4358,15652,5760,14121,17563,12913,17858,12208,16117,1282,9520,9817,13203,4475,12689,10884,7263,17060,14233,8082,15964,12616,17121,11331,5186,14414,16875,10500,8709,2331,19723,19733,11604,8617,10448,18014,10168,1584,9509,5637,16992,19013,15778,17421,11834,10224,7455,19190,2709,16861,16620,19757"
0(t0)^0(t1) ^ t0.DISTANCE=t1.DISTANCE ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT,0.00044259,0.9682669904505627,"2261,3792,5996,19342,11636,11378,8141,7371,10864,8698,1318,15027,306,2153,2729,19532,2741,14847,11021,10823,4343,1242,11887,14523,10,18732,11210,7087,11933,5185,12236,18672,17142,10881,18670,5318,3255,15896,5474,2522,5286,16134,5957,16526,9520,1282,400,17667,12974,14438,10889,1988,3831,5007,19769,17371,4129,10045,16698,10370,10311,3547,3063,15014,13959,17087,7842,18921,505,1487,19230,6983,2419,14239,2290,3366,3203,15892,19127,18173,9565,2715,2401,12861,4625,18726,9955,11425,15348,6083,6553,9147,15409,19981,18344,5796,6647,13514,543,12574,15599,1697,16155,2888,7526,19569,807,5721,17640,3852,409,13225,18396,3741,4679,2659,255,13088,18993,19534,1135,9777,1097,7409,8136,10655,12635,19701,12148,6625,7953,12531,18816,8118,16020,19336,253,19608,3888,4096,13457,16716,2423,13430,14615,5108,15990,9379,19904,5290,11940,14245,2255,3879,14937,369,8735,11690,837,18877,15317,15025,7811,14789,9364,12349,19567,8221,14879,15368,15213,19707,10238,8650,13121,6907,18024,4041,11121,2305,19403,3210,13046,16691,2008,14979,7932,17828,9011,17291,9412,13829,18140,18251,13734,1126,9220,6076,2265,10786,19346,7870,4793,10361,5406,7462,17916,17887,2050,9557,5901,4776,3542,18793,10492,5640,2939,15177,11407,459,3522,8975,1761,7807,2555,19990,18380,2254,7308"
0(t0)^0(t1) ^ t0.SCHEDULED_TIME=t1.SCHEDULED_TIME ^ t0.SCHEDULED_DEPARTURE=t1.SCHEDULED_DEPARTURE ^ t0.AIRLINE=B6->t0.SCHEDULED_ARRIVAL=t1.SCHEDULED_ARRIVAL,0.043,0.9513274336283186,"3314,3385,15615,17003,2144,9316,7471,7369,12579,10775,19167,19245,13220,8205,3069,3891,6834,3178,14732,14245,7108,5260,18686,7251,12097,11754,725,15850,13812,7075,11705,4318,15102,5038,8730,8612,16277,3043,14711,475,3313,13357,19032,17674,16517,16104,2429,679,10172,14920,19020,19018,7884,828,2783,2513,836,10343,10193,16524,13647,1983,10040,11945,6867,17767,4570,11012,6807,2517,4986,9233,10694,1402,11311,4894,12873,11993,14873,7553,18860,2790,34,18603,1287,14215,6528,3931,16313,7094,16310,6571,12619,8794,9962,7110,6399,18055,5341,18711,3332,10690,14726,9788,11007,7289,14129,14454,13020,15814,9127,14356,13607,10726,16151,8587,237,2407,3425"
0(t0)^0(t1) ^ t0.SCHEDULED_TIME=t1.SCHEDULED_TIME ^ t0.SCHEDULED_ARRIVAL=t1.SCHEDULED_ARRIVAL ^ t0.AIRLINE=B6->t0.SCHEDULED_DEPARTURE=t1.SCHEDULED_DEPARTURE,0.0244,0.953125,"1043,10692,3040,14593,471,12659,10738,6640,1163,1311,6855,4032,2783,17767,13389,4929,9810,16498,17639,11525,10465,6571,13672,34,1109,13827,10351,13592,2348,8764,4323,11989,15294,15190,7681,13306,3758,6867,3533,15453,10684,152,11116,1801,4203,1556,12531,17963,6785,19101,13203,15242,3139,16528,4623,7049,19648,18507,10977,16843,3043,2487,8220,16933,15061,1133,15465,15447,7750,6375,12423,8126,6947,3558,18822,12433,5818,12602,15437,3972,4365,9592,14942,17183,16244,9880,16896,18655,18518,2932,897,15588,3439,8882,6313"
0(t0)^0(t1) ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT ^ t0.AIRLINE=t1.AIRLINE ^ t0.AIRLINE!=WN ^ t0.AIRLINE!=UA ^ t0.AIRLINE!=DL->t0.DISTANCE=t1.DISTANCE,0.5624,0.9709944751381215,"7167,1478,13402,19810,7952,7966,7445,8709,4665,16849,3740,17217,13290,4626,2449,12606,3119,13456,10054,8759,16422,7306,7617,9817,12422,2132,8653,3538,13296,4413,7684,4475,9108,10832,14886,4811,15921,11752,12193,11584,19127,2043,12721,11287,11167,15022,3135,17487,13769,4206,181,18598,14469,1493,13397,580,15535,7814,2795,712,11160,7961,2017,39,6822,4128,6773,292,389,18014,18220,2723,18259,2696,16544,15958,18892,9468,19577,8181,16910,15106,5835,469,18091,2781,12669,11604,19718,12687,1532,8610,14355,13859,11424,17298,18120,6357,10250,16815,3276,3732,11670,3480,14433,5816,180,11880,9534,6359,11315,5903,2953,2882,3610,12637,7568,12629,17866,15006,18654,8706,9417,19234,14963,4276,8025,13692,16118,16741,10458,12208,12481,2927,8118,9208,19782,16307,10483,18434,11241,8294,15986,14739,11549,19336,2857,11845,14087,13624,5601,12465,19733,336,17749,5842,16889,16219,16784,4959,11330,992,6522,9095,9745,7532,5979,3210,19426,2896,18400,5321,15050,10471,7095,10470,19508,19316,6003,13115,2232,7416,6394,17878,5810,12435,1093,222,17694,10140,260,5755,14135,15297,4452,9194,2040,7063,10556,8807,11795,14910,2968,4921,4205,7753,16681,11655,14686,13464,3632,6108,7410,17482,5387,6347,3773,11964,17778,9890,16669,19723,15567,4450,2458,10116,2274,6234,10039,2249,9365,18449,9962,10439,10145,4996,4049,6164,6101,2504,5871,6063,7007,17777,5752,3348,6005,11437,1597,6552,13871,5052,16347,16981,15964,10479,8576,9851,5169,19821,9329,19434,5734,12821,17969,18827,15839,12079,18273,19200,16300,19487,10323,14922,1155,13098,4287,12231,12696,6993,12573,4873,19342,66,9611,19923,15935,5219,12063,10637,2330,11069,1906,4071,9520,12552,1259,7774,16162,19561,2934,18816,9105,17972,16484,5108,18441,477,6225,1720,4011,12192,3006,3884,17987,5541,13218,1951,11329,19979,15306,11834,7255,10413,6968,12685,6287,654,15415,18129,19160,18168,14724,11176,10778,1746,591,74,11230"
0(t0)^0(t1) ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT ^ t0.AIRLINE=t1.AIRLINE ^ t0.AIRLINE=DL->t0.DISTANCE=t1.DISTANCE,0.168,0.9882352941176471,"3839,1006,5288,6138,19670,5289,10377,2460,16299,6844,1782,1298,4294,407,547,439,327,3309,2570,10383,4410,608,391,9259,8116,12052,8871,18041,1761,3637,10518,19224,1443,732,6449,8622,15087,17035,16427,18471,6738,17199,11665,18380,9682,5207,1938,15887,8425,11695,2135,15700,2430,19184,6010,6824,19584,1060,19850,19667,19769,11243,3755,14149,13275,17548,589,1701,1392,19875,3567,797,17108,10538,16887,17328,4724,5330,12632,492,15282,9225,9400,12013"
0(t0)^0(t1) ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT ^ t0.AIRLINE=t1.AIRLINE ^ t0.AIRLINE=WN->t0.DISTANCE=t1.DISTANCE,0.1634,0.9927095990279465,"16552,370,3036,18529,4474,18214,18008,18427,18713,5172,3350,18521,6618,8848,19650,9342,1166,16375,6330,5765,19239,2019,8374,19183,7673,12260,9646,1328,19793,10682,15086,7470,18768,11094,7998,14385,13061,10266,16354,4201,8328,11596,8122,12387,6983,6540,3670,2829,1220,3238,15032,10321,16923,3885,9892,12900,8134,3969,9930,7018,6693,17218,4266"
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.DAY_OF_WEEK=t1.DAY_OF_WEEK ^ t0.DAY=t1.DAY ^ t0.AIRLINE=HA->t0.MONTH=t1.MONTH,0.0052,0.9629629629629629,"6832,1401,14610,18749,12532,19916,10978,18726,99,14429,2061,12529,11117,4568,18837,1783,15084,19672,1055,10251,2844,6908,16855,9045,8102,1291,11836,10529,17306,1019,16223,18752,13765,8454,518,6106,8293,5468,3414,6589,3099,18586,16555,13597,8441,12322,10223,19551,5851,16409,16103,1522,2197,231,8052,10129,15612,17388,10826,10505,9377,3975,13349,11412,11630,12746,11283,14398,10838,4304,19683,19950,4964,11160,6843,17342,372,16042,11918,8287,6595,12041,14125,1395,16835,1872,194,18928,19681,18031,3633,4282"
0(t0)^0(t1) ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT ^ t0.AIRLINE=t1.AIRLINE ^ t0.AIRLINE!=DL ^ t0.AIRLINE!=B6 ^ t0.AIRLINE!=AS->t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT,0.7112,0.9699945444626296,"7673,11584,336,2043,16375,6394,11795,992,7586,16923,14005,3740,13456,15567,2795,4276,9105,5765,2017,9329,1166,16981,9495,12637,4626,14126,4011,8759,15958,10321,4287,18214,7410,580,1220,18827,19160,17969,16784,16669,10413,181,15614,12193,12629,3238,18129,2896,7445,39,14385,15554,4128,4665,8328,15415,6101,16484,13871,8848,14202,5172,14343,14433,5551,12669,12573,13061,11596,2552,11230,18521,11655,17217,3885,17972,7446,14739,469,2458,16300,6003,18068,5108,15022,3036,5541,15862,7966,6552,11176,18713,7887,17694,5869,4959,5903,15935,12606,6164,10483,13624,12685,13859,2145,16118,1906,5979,18400,12481,8576,15086,8134,9850,11287,19979,10988,13296,12431,16741,11670,3480,19336,3773,13218,12192,10132,4687,14886,12387,19239,9468,6968,11752,6225,14724,11167,552,13397,9108,9208,7962,1746,7416,3276,9892,10039,6421,7095,2040,19793,5835,6347,8181,6287,16162,13313,18434,12422,9851,1172,9611,1720,13115,9935,14355,16240,10266,2019,8610,6063,74,14963,8374,477,19342,7527,5321,7255,4206,12231,15006,7774,14135,10637,7306,17482,11241,14686,12079,3118,3210,4376,350,15861,222,10439,7063,6983,12900,4413,17218,19183,712,1532,2274,7952,14087,9962,2934,4474,19821,4996,16422,3348,10250,13133,2927,1093,14893,10054,818,6139,3538,12260,17298,2857,8294,7961,19426,8122,10116,19923,16910,3969,4008,13769,7998,11756,11880,10323,15921,12721,13290,1951,8807,3006,15306,19234,6822,17875,8118,2442,3119,10832,654,16183,18168,14922,5254,4811,15986,9179,19434,6540,16347,16544,18417,9816,18091,8073,10440,6357,3350,2232,4205,6993,18008,1597,18259,10176,11094,19718,5084,9646,6234,16219,18401,6359,10682,5810,15050,2723,7989,11964,13098,16815,9342,19200,6005,19316,18654,5169,10778,292,5219,4873,2504,8025,15032,5601,11424,11845,19249,4071,6108,3670,6618,16889,10000,11834,12821,370,9745,11574,9417,18640,12063,17100,2330,180,18449,15297,7532,19561,13297,3135,8653,18441,18529,10140,591,4049,9095,4450,66,5501,16849,11069,7568,2953,15362,8675,12465,7617,15106,11315,4452,3503,18699,19577,15839,3884,14469,19650,11437,9491,14910,13464,6693,1155,3632,12435,16307,16552,3146,9930,18598,18892,16354,19127,1328,9217,18815,17797,15060,17487,14366,13692,19745,18768,12696,18096,12153,2829,16681,1493,2449,11331,5755,7007,17878,9473,1601,19782,7470,8706,15535,5734,5387,13402,9534,7018,11330,5816,5052,10145,8969,16105,2781,12687,4201,6113,11549,11589,9365,6330,18167,10470,6773,19508,17777,9890,260,4266,17987,18120,5871,13094,10458,7814,5204,2968,19952,7684,12552,10471,17778,17749,5842,389,16534,7167,19810,18427"
0(t0)^0(t1) ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT ^ t0.AIRLINE=t1.AIRLINE ^ t0.AIRLINE=DL->t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT,0.1646,0.9903730445246691,"12013,4410,3567,13275,12052,15700,327,9682,589,1298,6449,15087,18471,3839,19224,19584,6138,19184,1392,8425,5288,547,11665,12632,8871,18380,1782,2570,391,16299,6738,3309,17108,1060,2430,17035,3637,8116,9400,2460,6844,17548,10377,4294,11695,10518,19875,5207,1006,407,1701,18041,19769,5289,17199,15887,439,5330,1761,19850,17328,797,1938,6010,16887,6824,9225,1443,492,15282,9259,3755,4724,732,19667,10383,8622,10538,11243,14149,608,2135,19670,16427"
