ree,support,confidence,error
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.DISTANCE=t1.DISTANCE,0.00044259,0.9952999910047675,"11331,6373,8709,16117,4475,17866,17421,8082,4358,9817,12208,11092,18816,6037,12913,11071,17477,6769,7753,15652,19733,17121,15964,16875,13203,10168,8648,16620,10479,19190,1584,10224,5186,17858,7263,12689,17033,12616,2331,2709,19013,10482,17563,7455,19723,5637,2132,15778,10448,10500,16992,11834,8617,1282,14115,10484,18014,10884,13372,18074,9520,14414,19757,14121,5760,17036,9509,14233,11604,17060,16861"
0(t0)^0(t1) ^ t0.DISTANCE=t1.DISTANCE ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT,0.00044259,0.9682669904505627,"837,14245,14847,10889,2741,2423,6983,18793,14438,9955,2153,5406,10492,17291,10823,3741,1135,18380,19346,18672,13088,1318,2401,19904,19342,1097,16691,2729,13121,14789,8698,2659,3063,9364,1242,11210,18251,7870,10786,7932,9565,409,3255,16698,4793,11887,17371,1126,10238,3542,19707,15014,505,8975,13829,2555,7526,17142,9147,13734,15025,4129,6907,3852,15317,12148,15599,7953,18024,10361,543,19990,2050,7308,9520,11021,19608,13457,14937,9557,12974,13225,400,7087,306,17916,6625,5108,11933,11636,17828,5996,10045,5286,19534,7409,15896,13514,3366,16155,9379,6076,253,12349,5318,2290,11407,10881,10311,15990,2254,2261,10370,10864,15892,14523,9412,9220,6553,16526,4776,18993,8136,3888,18726,2522,5290,16134,17087,6647,9777,2419,19701,12574,15177,16716,4343,17640,11425,15348,2305,19981,7811,2265,255,12861,1487,9011,10,1988,15409,11690,11121,19569,12531,15368,1697,11378,459,19532,5957,4041,19127,12635,13959,7462,807,7842,13046,8221,4625,13430,19403,18173,16020,19230,18670,7371,3792,5640,5901,19769,8650,4096,5474,6083,8735,10655,18396,5007,14879,14239,2255,3522,2939,5185,18877,1282,3831,3210,14979,1761,5721,2888,8141,19567,17887,8118,15213,18732,15027,2715,3547,3879,18816,4679,18921,2008,17667,5796,369,14615,7807,18140,3203,19336,12236,18344,11940"
0(t0)^0(t1) ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT ^ t0.AIRLINE=t1.AIRLINE ^ t0.AIRLINE!=US ^ t0.AIRLINE!=MQ ^ t0.AIRLINE!=EV->t0.DISTANCE=t1.DISTANCE,0.8102,0.9854050109462418,"18096,17548,3350,9611,9682,2145,16300,14433,11330,15086,19249,6010,2696,8759,9259,5869,9225,5752,1166,17060,7962,9105,7306,1493,19434,8653,19718,18401,407,9520,18068,16118,11094,5321,8374,4266,1060,3503,9095,2934,8610,180,11243,7167,2430,13061,3610,4206,3755,4008,9194,2019,15958,12481,7586,12431,7989,11329,17778,15614,2570,8118,10323,4376,11331,19670,12193,9329,17487,6138,15861,11756,10176,12552,3885,18400,11437,17035,17199,16552,15032,11589,7527,18129,654,14343,16910,1951,5551,7095,16299,18214,18008,15297,19850,12231,3118,4959,10538,2829,2552,4294,6844,9491,39,15700,6738,14886,2132,18041,6540,13624,9646,15862,10988,5204,18380,4452,12573,2330,9473,4687,17217,7887,12013,19013,5979,11795,370,6693,608,7933,12629,12153,8848,7673,5501,1761,3309,11834,5330,17797,5288,13313,13859,4205,19184,19200,732,16889,1938,10266,7961,5172,13098,18434,12687,18441,18640,19160,3135,5835,13115,5254,336,14922,10250,13094,16484,12387,14126,8425,8134,18167,4811,15362,9817,1443,19508,19224,6234,8969,1478,9930,15986,18521,5169,222,16162,11549,6993,14149,7018,9495,181,9935,6164,5842,9892,16923,3146,1601,4011,17108,7966,19952,6139,1392,6618,12632,4201,818,2781,10440,4921,11574,7445,8073,5207,10383,15282,11596,13275,11069,19426,552,16375,9217,18713,19584,1220,10321,19769,10682,6287,260,13464,7684,589,10145,14202,19183,439,2017,14005,16183,7998,10637,9534,3969,6983,3036,1720,12669,15006,12606,10039,10054,2442,3839,1701,9816,3276,10518,19561,18417,6968,11167,16784,7255,16544,5810,3567,14739,14686,17875,12192,2896,19793,17328,4474,15087,18699,17218,8122,2968,4724,3480,9208,1006,12052,1328,16887,350,16105,16219,15060,6822,16240,5765,591,14385,13646,469,3884,11655,4410,797,6330,5387,1782,15106,4450,8116,2460,10377,12260,18427,16354,3006,12465,12721,391,2040,17100,7753,7446,11695,18768,17482,5084,6113,3773,1172,11752,327,6357,9400,1298,15306,547,4287,10439,7410,6421,16427,19239,6449,6005,2857,9179,10132,9850,19127,14366,18529,7416,19875,4128,1532,2249,8675,19577,11241,18471,7617,10471,2135,18892,17298,13297,16307,10778,15964,11880,2927,8807,12435,15050,15935,492,13456,15554,3670,11964,9468,10000,11160,5289,16534,7470,16347,13397,19667,15887,13133,13692,9342,8328,3238,2043,1746,5541,18815,18816,19745,12821,12900,11665,14893,8871,19650,3637,1906,6824,8622"
0(t0)^0(t1) ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT ^ t0.AIRLINE=t1.AIRLINE ^ t0.AIRLINE=EV->t0.DISTANCE=t1.DISTANCE,0.0842,0.9503386004514672,"12208,14724,16815,13871,15535,19782,10413,17878,6003,5052,19733,6522,4049,14087,14963,6552,16741,9851,4475,6101,8576,18091,4996,10116,12422,15415,5903,12063,5108,5871,9745,13290,1597,16981,19487,4071,15839,16681,13402,4413,3732,12696,3740,2232,3210,17694,16422,15921,3348,712,19316,11315,4626,19810,9108,9890,13218,18598,1093,4873,2953,10479,11670,18014,6108,11845,10140,8709,17987,18120,6359,5219,17749,7774"
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.AIRLINE=t1.AIRLINE ^ t0.AIRLINE!=UA ^ t0.AIRLINE!=MQ ^ t0.AIRLINE!=DL->t0.DISTANCE=t1.DISTANCE,0.652,0.9679334916864608,"6918,17879,13403,14873,6597,15458,3610,12281,15868,14049,15505,13882,4279,15066,16198,11948,13103,15694,2614,12725,17124,5975,11064,2196,2579,11716,16913,10006,1542,18692,4259,4353,17213,15964,15308,5144,3435,19462,12304,10629,5750,18764,15479,9345,12262,16273,12023,8738,19487,10995,6996,1239,2837,1844,14242,16079,12722,11098,7002,13495,14034,1178,7469,1367,10798,3101,10479,1906,6569,11728,14620,9092,3732,8446,1268,16923,13421,9885,4734,4475,10989,4715,11696,14778,19526,10834,13445,3986,4921,4151,10218,12081,7910,2176,7655,13573,1027,18723,17534,6740,11876,12682,3863,3843,10475,3727,5350,10957,17687,17594,14217,17180,16469,69,335,3631,17593,3983,15339,7753,10169,2127,15591,8573,9679,7319,3817,17313,16165,284,12208,3178,6458,1183,16277,4211,18729,15648,1045,7120,14056,17774,16709,7111,5380,12218,16108,9146,18307,4640,10315,169,6411,15486,1544,2747,12403,18605,5790,5733,2375,6521,12330,4470,18555,19733,7109,14248,17239,14542,16558,15349,5077,11373,12189,3296,15430,4302,19367,9817,584,15331,18919,10656,17968,8860,15053,4697,8513,2894,15072,14334,1955,2392,172,13679,1259,7798,18588,17327,6849,17605,8709,3746,3437,15171,5407,15587,17055,8819,7970,1713,15041,8396,6509,10228,18243,4570,2137,14550,17624,14017,8390,3158,3937,12502,2740,11612,4441,9326,6502,1504,12902,19058,18887,4292,883,15660,648,1144,16563,16187,6587,3303,6990,9442,1662,16724,18816,12787,6596,18734,8288,3912,19196,7641,6522,19795,10888,5325,6685,1269,2042,7614,9946,11505,11218,13410,13879,7152,3836,11329,16152,18998,19068,19507,15168,9455,9520,2724,2798,3612,10252,15840,2132,2403,16206,5161,5024,15954,14516,16779,10442,15454,3696,15737,6946,11715,2770,16011,10004,17039,12847,18014,17718,14193,12346,4060,3846,7653,5934,13929,6600,17942,5883,5413,1453,4066,5826,7428,10215,9761"
0(t0)^0(t1) ^ t0.SCHEDULED_DEPARTURE=t1.SCHEDULED_DEPARTURE ^ t0.SCHEDULED_ARRIVAL=t1.SCHEDULED_ARRIVAL ^ t0.AIRLINE=US->t0.SCHEDULED_TIME=t1.SCHEDULED_TIME,0.0326,0.9588235294117647,"10007,14437,13830,17274,16831,8018,7844,5161,6375,8418,17367,1385,12399,1114,1658,8433,12819,13436,16279,10867,2118,16439,2513,15951,4601,19342,5868,3382,16850,3512,4516,7337,18243,5494,1402,7322,2044,12218,13238,2970,16176,8836,6063,5178,3255,6005,15021,7654,1415,18363,18073,16010,3730,5712,4888,10738,5229,15237,12871,2052,11796,12692,13389,15372,9310,10598,10274,7365,16234,16849,18493,15477,17064,10940,11045,19167,18328,996,3250,3560,10320,10612,17144,1595,2649,8898,4112,4655,16419,15069,14726,19125,7233,17967,2355,1986,13049,18191,16305,18648,1265,14120,9393,6575,2701,19075,13944,13691,1831,16696,10096,12482,13253,17850,198,7085,8467,12701,14997,6719,15435"
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.AIRLINE=HA->t0.DISTANCE=t1.DISTANCE,0.0424,0.986046511627907,"12167,19373,14378,15458,15737"
0(t0)^0(t1) ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT ^ t0.AIRLINE=t1.AIRLINE ^ t0.AIRLINE!=US ^ t0.AIRLINE!=UA ^ t0.AIRLINE!=AA->t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT,0.7256,0.9869423286180631,"9892,5601,18529,12629,15935,5752,4266,3632,13871,12422,2460,15022,6138,18129,6738,14355,18091,3276,4276,13456,1761,12193,2135,19650,11094,5321,16427,19183,3350,3309,5330,10413,19234,11243,580,19184,3670,2458,13098,14922,17328,8181,3210,18892,7532,1166,19667,16219,15839,6164,17778,8122,16741,5734,3740,19239,10483,7416,1298,4413,6101,12079,10323,2017,10039,14087,7306,17987,5108,19224,7684,7617,17749,389,15032,9646,18768,10116,5288,17199,4724,15415,9105,18380,407,1478,12465,370,12387,8134,12013,469,11584,2430,18008,14963,11596,13296,10321,4206,17548,2330,16299,10145,13769,17108,7255,19782,492,16681,19810,9962,16300,16981,19923,18827,10439,336,3348,19584,9095,16422,17777,4049,11845,19316,6552,8374,19769,12687,18713,18400,12606,589,19336,4294,18214,17218,14469,3884,4410,2696,11665,8871,4811,12632,19875,3036,712,9259,4011,13402,7998,6968,10377,4205,6618,12552,5207,8622,12192,3839,39,6983,19434,18434,391,6359,1220,16910,8328,5765,14724,5871,12063,9534,6824,12260,16923,2504,608,18471,19670,12052,12435,3119,2019,3773,13275,12721,439,11160,10778,5219,732,19200,4287,2043,2232,9851,1392,18427,5816,3238,10140,12669,15921,1006,15050,6822,11315,1060,2570,8025,327,1597,16354,15087,16375,10383,19577,2795,15700,17878,8848,4665,17969,6108,18259,17035,2829,2449,3969,4071,4873,8425,14385,19793,9365,15306,11670,19821,13061,13290,6010,9745,17298,18598,17972,19850,2968,9682,3135,3637,4201,3567,9194,6330,5541,14910,547,16552,6844,8116,7966,5052,1782,2953,17694,2040,7018,6693,7952,2249,1155,16484,7673,16887,797,11695,10682,6449,9400,15535,18120,8294,18041,1093,13692,12900,9930,1951,15567,1443,16815,12231,15958,3885,6005,6540,18521,9468,4474,10518,8576,1701,9890,10266,14149,15106,19718,5903,11834,4626,7774,6003,10832,11424,17482,5172,9225,15887,15282,4996,12696,3755,15086,7470,13218,18441,10538,5169,9108,1328,1938,5289,19508,9342"
0(t0)^0(t1) ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT ^ t0.AIRLINE=t1.AIRLINE ^ t0.AIRLINE=AA->t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT,0.1286,0.9525925925925925,"15006,11167,11964,19426,6993,1720,4452,5387,11752,13859,181,591,654,16347,19127,11069,17487,13115,12481,16307,16784,8118,4959,15986,13464,11549,9611,1493,12573,9208,7410,2781,5979,8807,11880,19160,10637,2927,1532,12821,6287,9329,3006,5835,16889,14433,11655,4128,7961,7445,8759,14886,10250,11437,13397,7167,1906,16544,222,13624,8653,2857,6234,16162,19561,1746,14739,17217,5842,11241,4450,3480,8610,6357,11795,2934,260,14686,180,15297,7095,2896,10054,10471,5810,16118,11330"
0(t0)^0(t1) ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT ^ t0.DAY_OF_WEEK=t1.DAY_OF_WEEK ^ t0.DAY=t1.DAY ^ t0.AIRLINE=EV->t0.MONTH=t1.MONTH,0.0282,0.9929577464788732,"3335,3631,16620,5447,18846,19246,11386,529,19102,12903,4969,14822,7601,14054,201,7294,19476,16741,4830,6953,11645,18014,712,10305,10251,7797,6975,17657,2953,17947,19894,16624,16890,5453,2837,3295,8464,12079,11635,18228,961,8276,18808,6023,2665,14938,14111,5318,19998,5329,3593,10701,17924,17900,438,15974,13950,9182,16958,1050,17084,12172,18978,5372,8028,2997,14893,7088,9395,11504,17170,9668,18260,7483,5543,8350,16018,936,4416,3517,11506,13711,16307,5322,6552,10364,7860,1921,11052,9723,4869,17920,18473,10351,18645,3172,568,169,1444,19463,7304,18737,13203,11097,4698,17372,18095,7682,17632,5922,6162,3959,9323,6911,3504,10578,6852,6599,5026,14347,12873,7958,7100,4270,19647,14284,10977,15020,5781,18009,7486,1087,6021,6625,17757,7253,12600,11036,9151,13419,124,5463,17167,14159,7202,11896,14336,12353,17991,13904,12004,13769,10405,18458,19964,10631,14578,11425,2590,15159,18442,11737,452,5438,19128,2062,9112,17237,15586,13483,5294,15522,6927,3046,11263,19759,12614,3571,9508,10201,16753,7312,9704,7423,12047,2079,1998,18090,11997,15782,1677,16054,13807,13403,13182,4508,14069,9673,15828,14108,18951,17185,797,18034,8214,12410,6151,3823,1650,12895,16777,15956,15535,19874,1058,19447,7411,4614,7351,18603,11392,18141,14449,8356,1915,13335,7473,8177,6407,12397,7417,3029,9890,15177,7024,2081,3119,840,18493,11155,13687,16744,18177,5355,10286,4223,12615,10132,16227,17507,18562,5715,12761,8420,446,14037,12430,6830,12880,9934,14773,18708,2077,8822,622,19818,5764,17505,11676,4957,14665,12499,12044,10904,7825,4210,6241,422,18005,357,17867,13368,17819,4343,13863,17052,4308,1727,2631,16424,12307,6256,3691,9167,7407,18753,3794,9769,15422,9596,8662,13467,2059,5871,13414,13094,4811,2386,18297,10216,6803,6731,14352,9938,18135,4708,2540,11779,5392,16115,972,14014,16880,5540,11721,10110,14776,19232,3567,9504,13727,4233,8392,4392,3170,19622,12207,5223,2114,16615,7388,18452,5446,11680,10903,11770,10586,3348,3822,4202,2216,5868,4501,11784,8684,4113,9849,1334,11664,9974,15480,15701,17489,11204,18164,4626,16875,10863,5719,7985,7723,3130,1412,19091,16581,9097,2065,15660,19103,8744,8050,14992,11928,10262,554,9128,16514,4862,9709,14829,19914,4033,11362,12951,19188,9365,19667,9682,18198,8372,15231,119,5770,14706,13792,7126,16704,15196,16303,4029,4063,18598,3437,17055,14093,1539,4138,15515,7401,19544,18542,4257,16451,5031,1107,11885,12958,9702,16580,10411,17692,17250,10492,11250,13164,10187,4032,19187,10716,7885,2552,17405,6195,4828,8508,7404,1150,9631,14266,14105,8755,203,9435,1545,10377,6871,4705,10453,239,13698,15330,868,7905,3286,19190,5933,14650,12540,2868,19895,8845,11775,12874,1771,14548,3509,9913,7801,8727,9647,3736,5652,14912,9751,12498,6401,12099,16547,12984,3316,1160,19137,1863,10516,13481,11019,6933,510,9416,3627,7862,12337,10210,4929,4362,16338,6679,6635,4603,18259,1514,18076,1559,6260,15988,6194,17661,2239,8509,10609,17363,5750,14045,12255,19092,89,19142,5301,11639,5399,10952,16209,2610,19069,14585,8141,5589,18039,4353,10441,8956,12187,170,12257,7315,13199,1324,13700,17109,15072,7378,4300,10452,16484,18010,205,10469,19762,15170,19634,3239,15985,4463,16090,15721,8550,16210,18173,8924,15201,5106,5187,15619,15003,19978,1768,19279,1509,11881,3922,1759,5436,13366,1371,4073,10308,7620,19835,7118,18664,6007,18378,9926,8865,5448,11782,11459,10059,10926,8153,9539,6466,2950,5081,7877,18271,2415,7450,16674,4883,15476,7136,17371,839,12676,13148,8636,18615,1633,15990,8307,11461,19402,7921,8109,8150,5901,4421,2644,8772,13785,14365,7800,9632,9659,1598,5452,1735,13006,362,17603,16711,864,4693,8996,11058,6720,10594,3200,3497,15944,837,7787,10687,7237,15839,14541,16734,12128,10748,15061,9740,16023,5254,15013,14197,18050,15565,1540,5420,4937,16742,11996,1065,7577,3595,2272,14694,16957,14341,9781,8665,17103,747,4763,6361,15246,7969,16027,12217,19849,18280,141,11694,189,11993,13673,17812,19037,8947,13454,4294,12010,865,17365,7049,12635,14675,6227,1520,16062,12630,16013,19176,5004,6276,13956,5357,14643,7712,1214,12219,10296,9962,6032,16653,9874,4049,17420,7284,12955,12696,12482,7164,11684,18692,8503,2969,3078,13618,5822,19906,8106,7142,1308,8763,309,16517,9023,8195,125,347,8510,10868,14962,5207,4417,1167,4940,6580,2430,418,18915,16682,4533,16412,560,8290,17777,3182,13992,12806,83,15561,14377,4504,4003,12269,1969,17352,11615,19308,6154,16569,8487,14627,12890,19403,9637,2541,17731,6859,16736,16681,1264,10287,18909,11525,14734,11410,98,317,17862,9228,14882,7749,8315,2735,4260,13527,918,11233,4045,1055,13998,11661,15544,18899,9794,8764,7715,10285,18966,4848,12111,6041,18129,207,14565,9376,11162,7954,15457,5111,2649,18223,5830,2596,15910,1869,4891,16555,14704,11778,7677,3208,1132,9580,11982,18244,379,8335,1201,3278,18332,12060,10939,16016,11301,5092,14603,1394,3733,53,18153,11199,12267,1898,15404,17866,12897,12293,9032,18207,1991,6648,13444,13455,6775,7687,571,192,9641,2108,1161,18787,4403,4807,10740,10908,3853,11659,19081,8194,2655,6359,905,7193,16402,15933,9784,18550,1100,1709,13330,15044,8923,4404,10743,17970,4586,12695,9050,6425,4717,15287,2173,2164,11146,5204,5237,10073,2281,13487,12327,15651,10488,5037,17710,6356,9330,17893,19799,8815,3234,2395,11485,17634,5787,6376,12674,15815,5408,2780,11861,283,9526,17310,6980,13614,17251,19793,17038,17800,10079,17307,11903,17035,7455,17927,12920,7409,4823,17288,12965,5905,14205,3749,14356,10445,3837,12748,13826,867,17485,3436,7564,12827,11736,7213,3574,13052,10144,3406,7952,4642,12497,6193,6354,913,4572,14104,15795,8129,16200,11288,11855,1204,5014,3592,9269,698,6395,17593,7318,10064,10735,14799,3080,1893,946,15771,5608,18886,4052,12929,10010,16759,1190,8454,8670,14448,7116,16815,2076,254,19151,14415,4162,5632,10736,13398,16105,10937,3800,10707,17794,34,414,5418,9717,15666,13290,7654,13940,15700,9125,19212,4575,13430,15153,11120,16430,5288,12760,3908,9589,16507,8608,11426,5462,8709,4473,11388,17708,18947,10074,15450,1907,241,17839,12858,4156,5507,13684,11069,3741,8565,6096,19710,16400,18609,12208,18954,9004,1973,10361,12335,16725,5084"
