ree,support,confidence,error
0(t0)^0(t1) ^ t0.WHEELS_OFF=t1.WHEELS_OFF ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT ^ t0.DEPARTURE_DELAY=t1.DEPARTURE_DELAY ^ t0.CANCELLATION_REASON=->t0.TAXI_OUT=t1.TAXI_OUT,0.9782,0.978787272363418,
0(t0)^0(t1) ^ t0.WHEELS_OFF=t1.WHEELS_OFF ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.DEPARTURE_DELAY=t1.DEPARTURE_DELAY ^ t0.CANCELLATION_REASON=->t0.TAXI_OUT=t1.TAXI_OUT,0.9718,0.9719943988797759,
0(t0)^0(t1) ^ t0.LATE_AIRCRAFT_DELAY=t1.LATE_AIRCRAFT_DELAY->t0.SECURITY_DELAY=t1.SECURITY_DELAY,0.008045202222222223,0.9918891928508512,"3676,29644,20301,13435,8712,23387,21526,7159,4094,26897,6687,29692,12533,21347"
0(t0)^0(t1) ^ t0.AIR_SYSTEM_DELAY=t1.AIR_SYSTEM_DELAY->t0.SECURITY_DELAY=t1.SECURITY_DELAY,0.007859406666666667,0.9975258813624576,"29692,12533,23387,8712,21347,7159,26897,20301,6687,4094,3676,13435,29644,21526"
0(t0)^0(t1) ^ t0.AIRLINE_DELAY=t1.AIRLINE_DELAY->t0.SECURITY_DELAY=t1.SECURITY_DELAY,0.007072971111111111,0.9899140537672466,"12533,23387,21526,20301,8712,29692,29644,21347,26897,4094,7159,3676,13435,6687"
0(t0)^0(t1) ^ t1.CANCELLATION_REASON!=B ^ t0.SCHEDULED_ARRIVAL=t1.SCHEDULED_ARRIVAL ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.CANCELLATION_REASON!=C ^ t0.CANCELLATION_REASON!=B->t0.SECURITY_DELAY=t1.SECURITY_DELAY,0.9424,0.9548125633232016,"14334,16275,2665,9380,10274,24996,17663,19285,17614,18737,24814,26440,8271,25329,20430,3513,2153,3080,10574,16819,24090,15423,4011,26388,28371,19108,11924,24328,24074,13687,8120,9241,12792,13280,19334,6397,26158,11069,15144,550,29239,4544,6307,5705,6609,22162,2672,2063,13381,21042,19881,17505,18787,14353,10782,16365,23760,28279,13993,28860,5676,4699,11614,14043,12326,11601,22067,9966,21022,24198,8203,13412,27465,4526,13923,14674,4230,8306,23189,8482,14763,21706,25518,2863,1385,16141,17249,7110,10691,1070,11092,4182,19553,8989,8122,28373,5445,9898,16319,12975,11541,13153,14841,4929,7078,21665,23584,13337,26569,13649,18622,18322,22536,17096,29262,20633,21370,9683,17148,20572,28768,10599,23121,20605,25088,9622,22418,17766,8590,20972,26436,3666,17277,6108,15155,1110,10643,11189,27835,11803,745,28514,7830,5070,26703,11032,24456,29748,22488,3069,13476,19407,1091,22384,1345,3591,15147,29142,4553,4952,17843,12033,20353,6632,28469,2802,23061,784,27254,3776,12704,25921,515,8357,1947,25414,11386,29506,7630,6910,14113,5689,14500,8040,2479,1111,23860,5410,8665,17812,6288,3481,10623,18694,16599,6101,27605,16105,28531,994,12978,28780,28087,20994,7761,12406,22706,6064,23639,13977,27686,10524,15585,7094,20041,9215,19592,28464,8052,12723,18870,25598,18640,12654,23355,19702,28462,26348,826,3935,7737,23548,14407,10105,17334,1264,18414,9079,16609,9031,20296,26428,14477,25211,5301,893,11139,19272,15069,4926,28704,21673,28823,18092,10137,5194,27558,18199,10269,24504,5082,29720,8762,13974,28776,27107,13186,29132,24459,1490,8226,16861,25441,2461,7403,16079,758,195,9661,10422,23363,23859,12497,28265,29331,7602,14566,8885,5342,17328,8302,17435,9972,19202,13313,23721,13237,25355,13706,16301,28807,27984,25583,13054,27287,14557,26557,2213,24772,14833,20369,1965,11241,12227,11686,8239,24218,10026,18483,13809,27809,22411,27001,6801,13561,6525,1545,8895,17685,11538,12931,18381,1626,20260,27381,23654,7427,2891,18664,2977,7355,9445,26491,9305,25901,11469,16087,13011,13370,20197,24296,28739,823,20540,25635,8371,14922,27891,21297,8562,1821,11215,439,28452,17870,22738,4490,25924,18688,21446,2422,8774,11900,29260,28343,11883,22975,24741,3482,28947,26882,28529,24197,4148,17846,13397,7699,17956,11493,24105,7297,4581,15369,519,7536,20021,26592,1764,17294,22922,27047,29149,4524,15707,8303,676,19645,6239,8287,3726,26760,4098,27513,17211,14317,8395,5995,8215,10783,22535,24093,16274,13100,12597,10521,10067,21795,28755,18908,18077,11998,3464,12018,25532,24202,29086,25068,233,2916,8877,28049,14931,6929,783,15404,25404,17709,17787,780,15733,16630,28365,9514,7493,124,26128,18726,9484,9350,14622,7016,16828,17093,23001,14062,14896,23348,21134,22847,16596,24589,23052,8212,24948,23489,6770,17945,6103,9839,19071,22801,29820,26101,12990,8731,20512,18844,1190,18204,23422,24430,24200,25562,18822,4370,5157,19373,13101,11191,19533,6165,17635,8844,15611,10158,24828,16045,23569,4616,20655,11734,29781,7832,15217,11860,16391,27232,6888,25109,27750,20592,26274,19525,19379,3455,12087,23359,11077,20494,6816,21075,26747,18671,2444,8487,2653,24340,13269,15600,24215,12546,18486,12209,654,29519,19283,21283,21908,26709,11848,10769,3697,1199,4143,21907,9563,19249,6104,5484,10941,5543,23096,9224,3917,21219,1220,1875,20704,23571,24613,20672,12323,4485,9717,24993,13916,2909,13182,3432,10379,12508,29581,17289,12356,18391,21808,852,12903,17147,2338,15424,14652,21044,16007,29973,684,17244,19559,21943,17045,455,24525,8295,10445,9870,22224,15547,6860,6568,15672,1563,24534,13306,9277,15610,1344,7451,29412,7585,27920,24729,18406,14449,16612,8448,24947,28069,25138,12910,25916,29402,24100,20589,4210,29369,10881,14577,15049,12444,16095,12779,19010,28662,12529,12293,18781,17674,5831,26497,27211,15579,10958,14902,20102,28720,18041,18463,6664,20315,4760,17151,24777,8619,20973,14888,18453,4060,14378,17117,4113,5400,10594,10307,3778,28372,11331,23895,2247,21211,10119,991,22737,29120,4313,16972,8660,19101,12768,29032,28361,4881,1811,10884,29632,29801,1404,14525,29499,9893,29243,8977,21778,8053,29809,25813,14685,23712,21437,20325,13882,16490,11775,13488,3921,7976,10201,4758,298,29237,2148,14986,18529,11827,8216,20288,5322,2406,14885,13931,20479,8975,4555,21530,25569,19618,27674,21260,29615,265,23874,26990,19550,11950,24322,9152,14635,4729,22640,8219,15759,24211,8971,28362,26629,10758,10756,14656,20887,2811,21300,9850,19570,14948,4737,13599,5847,22248,5061,9335,17319,27846,23064,28143,23674,10370,28999,8808,3887,1541,25856,4772,26013,11184,8488,17311,18572,2372,2230,10309,558,20401,3263,24235,1671,23224,11219,23259,17978,27838,20076,7282,23318,27454,13583,20669,15019,14036,10767,26469,4030,1381,3737,14192,12495,27533,12609,15266,27506,20613,6796,14493,25473,10440,4133,23742,19170,8875,14810,5501,13141,2239,2025,20840,21498,8836,21341,22061,23754,25591,20691,28356,13658,80,21821,23563,6940,4732,29505,24040,27331,12644,6304,7182,25126,24941,16362,3008,14445,29125,24648,1461,10653,12516,5919,6334,19281,17494,26931,3757,25695,15533,7702,21972,2920,5143,24392,18209,5719,7650,23998,21222,5249,26798,19159,20432,20564,27684,28747,20099,21105,19834,26750,14677,4659,1729,10107,6517,18135,27330,14276,18206,22748,28616,29786,4724,9269,8605,15712,10590,4890,10584,21728,13257,10405,18549,11514,25992,13712,22081,12786,16967,14057,12613,26949,1278,19894,26176,8440,19956,1330,12679,22140,5257,26119,17155,12149,19476,3211,26208,18128,11006,19394,3692,5444,16406,17701,1363,10205,777,24026,25388,17288,25632,11787,27292,11035,10127,29491,943,29191,16467,22405,20480,23375,5285,22937,896,6769"
0(t0)^0(t1) ^ t0.SCHEDULED_ARRIVAL=t1.SCHEDULED_ARRIVAL ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.CANCELLATION_REASON=B->t0.SECURITY_DELAY=t1.SECURITY_DELAY,0.0078,0.9512195121951219,"24457,23462,22736,9023,23612,14103,3296,8548,9454,16389,11269,10247,4340,11552,4782,26944,2644,15739,25193,8692,9167,9017,7095,21659,22033,27979,28429,25663,2667,2737,2709,14555,21363,18952,2373,23782,22782,14949,18617,23745,2090,27242,1238,17988,28176,6407,18641,19133,6411,10358,18812,2861,2969,15005,23567,12086,25369,7584,4267,8462,8773,25338,4644,1398,4012,7141,8737,26659,13271,6448,17464,9325,29153,28361,19050,1535,1673,1354,17192,14048,19209,21356,5522,29848,2303,23322,25698,6260,6014,14757,3030,7729,13273,26845,28645,3330,24484,29430,15335,12046,5950,26975,21046,26905,14567,20111,24272,19817,20554,10818,12685,18175,10131,9247,15645,12544,19115,6828,23248,2079,16348,4493,13646,25543,7537,27037,19555,3701,9095,6539,1329,27815,16182,15704,23945,27208,16828,3340,2693,14725,2672,3616,1758,26416,22923,10640,25603,15744,9604,24261,16528,29343,24720,4027,24097,22469,11675,10868,6347,11543,12513,23804,13439,3037,22142,10250,17678,29058,16496,20206,20647,9644,27219,10335,12185,18227,25684,15950,27061,15520,9600,22384,28960,760,26984,3163,729,16304,11982,16268,14668,23095,25108,3945,11562,4256,27488,9440,27946,12079,23297,27456,14974,4352,4935,29392,6234,8200,15281,26049,652,6122,14910,9200,10601,4595,14675,15045,20538,16473,14283,2253,9534,1394,390,16875,17460,9183,29291,18825,23278,5460,6849,14672,23276,2707,8270,28192,24216,10521,25624,22863,14493,16839,1385,24880,25422,19849,9555,27044,12462,6939,11670,27613,5316,17972,18431,15225,10780,2468,20547,20622,29794,28266,20793,26125,7575,22847,3969,12833,21644,29457,21254,9319,554,19528,4523,17731,24764,2324,11023,23312,9309,11604,10982,3508,2812,6256,18674,22299,16449,6047,29954,23047,19728,541,16277,26670,8836,2038,20032,21661,11410,15311,22087,3267,13818,20174,7310,824,6473,27116,8359,9184,7046,15522,10043,21538,5352,15802,14697,15340,278,20725,3367,1615,14608,29941,8563,3218,19515,23251,18561,15699,25610,27917,29173,24839,20023,22348,8133,4363,4087,16095,29831,3194,23326,13811,27026,21498,4045,5861,29049,5905,714,5448,2464,14467,12965,11996,232,15449,11915,25040,2479,1266,26514,4361,27201,21109,17292,5741,7962,18638,19645,11488,4010,13966,25828,26701,20641,9865,8941,9481,27739,11303,4705,18863,28029,25991,21873,612,26724,27003,14422,24421,24439,20523,13286,22948,10984,17085,21475,20969,28059,21930,15460,24218,13473,6120,1508,19367,9366,19175,25172,23949,29657,29676,13435,24172,16460,577,29776,8099,29574,15141,12003,3396,3770,6655,1705,1094,1753,28011,2283,25164,19660,900,21163,24637,12716,25211,7792,24800,15211,7404,3040,1731,13540,26227,28052,14537,15096,9372,24717,24251,4296,734,25461,1981,26060,7494,21863,8578,18553,12908,12765,11807,29070,7687,2094,9974,14136,21417,16676,15333,26061,7593,20407,28320,2610,15364,14111,23212,18384,11997,25344,25102,9672,11420,27725,2071,23895,573,22570,14330,3548,20234,29610,11359,10858,21690,18543,20638,23742,15835,24923,24684,23868,7722,28131,19624,20527,27308,15006,13294,21332,27477,5234,17431,19914,15895,23637,24446"
0(t0)^0(t1) ^ t1.CANCELLATION_REASON=A ^ t0.SCHEDULED_TIME=t1.SCHEDULED_TIME ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.CANCELLATION_REASON=->t0.SECURITY_DELAY=t1.SECURITY_DELAY,0.0048,0.96,
0(t0)^0(t1) ^ t0.WHEELS_OFF=t1.WHEELS_OFF ^ t0.SCHEDULED_ARRIVAL=t1.SCHEDULED_ARRIVAL ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.CANCELLATION_REASON=->t0.SCHEDULED_TIME=t1.SCHEDULED_TIME,0.9994,0.9995999199839968,
0(t0)^0(t1) ^ t0.SCHEDULED_ARRIVAL=t1.SCHEDULED_ARRIVAL ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.CANCELLATION_REASON=->t0.SCHEDULED_TIME=t1.SCHEDULED_TIME,0.9518,0.9702344546381244,
