ree,support,confidence,error
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.DISTANCE=t1.DISTANCE,0.00044259,0.9952999910047675,"11331,13203,19013,16992,5637,5186,8082,6373,9509,15964,12913,19723,7753,9520,13372,16620,19190,17121,6037,7455,18816,7263,4475,10484,12208,14115,17858,12689,9817,12616,11834,10448,2709,17866,19733,11604,17421,10884,5760,16117,8617,18014,17036,10500,19757,10482,17477,15778,17033,2132,2331,17060,10224,1584,8709,6769,16861,4358,11071,14121,10479,11092,17563,14414,15652,16875,1282,14233,10168,18074,8648"
0(t0)^0(t1) ^ t0.DISTANCE=t1.DISTANCE ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT,0.00044259,0.9682669904505627,"10492,16698,18173,2939,3522,14523,19769,11378,7371,7526,5796,5901,13734,12531,17142,13829,1761,1097,7308,18380,3063,9412,9777,14847,1126,12974,8141,8650,409,2401,11121,12861,6083,15368,2050,16155,3210,4041,19904,11933,16134,5108,15409,9220,17887,19534,13959,1487,4679,5185,5286,15317,1242,5996,8221,15025,18732,2715,14789,6907,5007,2555,2419,19403,369,17291,4776,13121,1135,12635,3879,3888,19701,15599,2290,253,7087,18670,14979,14245,8118,19127,7409,3542,2255,5290,1697,16526,7462,10311,19608,4343,15014,18921,3255,19990,19346,13514,3852,459,16716,6983,6625,10361,18024,3831,14239,1988,17828,12148,17667,7932,16691,8975,5721,9557,7807,10655,11940,8698,15177,3366,15348,1318,19336,9011,6553,10045,8136,16020,4793,8735,1282,15896,13457,14438,2741,19569,19567,9147,18793,18140,9565,7811,12349,10881,17640,543,505,11887,13088,5474,3792,18993,14615,2153,17916,19981,14879,4096,13046,13430,2265,19707,18726,15213,17371,18396,19230,5406,2261,9955,7870,837,13225,4625,15990,10,10889,7953,5640,3547,3741,11636,2305,2888,12574,6076,15027,5318,10786,15892,7842,9364,11425,10864,18672,2522,18251,2008,9379,2423,2659,19532,18816,400,10370,18877,11690,807,11210,4129,17087,19342,10238,6647,10823,306,255,2729,12236,9520,18344,5957,14937,2254,3203,11021,11407"
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.DISTANCE=t1.DISTANCE->t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT,0.00044259,0.9666280822067399,"9531,2078,15763,17519,2640,6366,3665,17258,18116,5116,534,19438,16579,12414,17187,14747,13842,6551,17606,9414,12847,10475,14234,9485,11884,13665,19379,11201,108,18153,3813,16744,2594,17801,16688,19339,3220,7657,6328,17605,5952,13244,9006,16598,10818,10466,8176,15016,3008,9266,13989,12298,8206,5598,15992,19214,11505,2761,1192,10601,11501,7264,16015,13407,2412,1931,6221,11477,4213,11154,19378,15961,18038,11942,16261,2151,14184,13688,8746,5587,7109,15759,12160,19456,7444,19300,3960,5253,15611,2797,19330,12096,16788,18327,18923,16558,15729,9567,18767,15780,14480,10784,7387,14956,18526,7179,3781,11801,1600,13206,19646,17095,5926,15718,5291,6337,3371,3621,18221,2653,17746,8038,2972,19740,7641,11292,12875,7455,1754,12786,15794,14345,3515,3243,13668,4581,15600,9820,15371,15264,5808,11010,3298,18080,15861,19287,2220,15749,3597,10180,19257,12369,14931,8878,19703,5486,7794,3560,7314,1094,3435,9185,9126,3303,4001,17303,828,12827,18148,9482,17375,18974,5383,4852,6300,3543,17903,11657,12487,14570,15875,12807,17013,18434,2331,18770,3251,4918,11257,5723,16273,3775,16455,17025,10065,17378,15753,7768,16967,17542,3079,3329,9031,17847,4483,11071,9864,19700,6369,11842,1853,979,16623,14823,19721,17325,14579,4330,5530,15466,14639,16155,905,10727,8953,14743,2811,12803,17562,16435,4616,7232,18313,2532,8626,4024,14067,1607,7487,2136,1784,14977,19830,8461,14597,6204,2400,15768,4547,18302,18244,3542,12545,1727,18514,8285,4829,4351,19484,1711,8959,14176,1491,12433,10893,17848,17875"
0(t0)^0(t1) ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DISTANCE=t1.DISTANCE->t0.AIRLINE=t1.AIRLINE,0.00003079,0.9522189577856811,"6031,13704,19253,13758,19509,17402,1964,3789,18971,17372,15609,10436,359,16167,17664,2824,14975,1251,11363,1922,7640,15477,9130,10242,14548,9318,10458,3155,19342,13874,9771,4067,8332,14612,4601,18804,3308,14073,3538,1902,13576,13022,16035,9843,4927,18410,9107,4780,10278,7172,6850,2843,7506,1869,5506,13804,3730,17446,6168,4593,7930,1472,12871,5354,18363,1402,2560,1625,17683,1001,1273,918,16142,4731,14613,6503,11736,3283,11207,16210,18205,7718,4983,13128,1474,10670,13855,10277,11884,19642,8801,10115,6695,8119,41,18123,5272,19135,4465,5167,3325,13381,18009,9610,7654,2230,1572,4796,17562,17197,4754,1669,13460,11927,7007,13993,12558,10407,18,4515,15733,14685,11443,17397,1092,17428,18797,11799,11494,19477,6166,18356,11361,869,17302,4361,12694,14375,18361,19147,5951,8161,11480,1642,15237,12758,15496,16949,15471,15003,11573,6064,11020,12090,15076,16230,10118,17558,12296,3700,5864,13681,19495,17359,15280,15690,17117,9282,17681,18245,14821,17823,6059,3476,3361,9496,11832,14260,18649,10442,17045,3417,18570,19871,826,19201,17231,8961,7733,13380,8811,11964,15548,8716,19113,14172,18015,12141,1615,6690,3495,12763,2466,1537,12467,19256,9960,10612,9462,3718,16449,18328,2067,7191,14437,14535,3000,2804,11376,7523,11374,2373,14885,11086,1876,4332,1389,6628,15578,14438,9992,10780,15807,14880,2975,12253,10368,6622,1441,8770,11303,6297,12520,1919,3883,12571,3922,121,14227,10072,10942,11917,18455,7036,8360,1114,477,17201,5248,11066,12568,19002,7931,5472,14359,852,14624,7114,9359,13396,12995,14405,12513,17229,19251,15536,9648,9521,7351,9617,4892,16234"
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.AIRLINE=t1.AIRLINE,0.0000214,0.9562109025915997,"16210,8716,17428,14227,13437,1474,2824,13704,7007,17446,4945,5542,14274,11303,15280,2843,16949,6297,8977,9359,19685,13804,14613,15496,11494,8801,1389,10436,17229,12520,2804,3000,10612,17231,14880,1964,7351,12568,16167,9750,18804,15477,7523,16234,11376,17045,14073,11363,18009,18570,11361,6628,13758,19256,19251,5864,15690,9771,11736,5272,4983,6168,5506,1092,19135,14821,1869,2267,13460,13576,15609,19495,17302,8770,5951,2230,9617,4796,16230,4754,9843,12558,9610,14405,11480,16035,15560,5269,3718,4361,7931,4515,826,17359,3361,18361,8897,7640,17681,12763,10118,4465,11443,7798,852,12694,10442,17823,7172,12467,1876,9282,6166,6503,1273,15807,18015,8811,5167,7718,15076,15536,19253,15003,16142,19642,11927,10942,17558,10368,6690,14260,14437,13874,10072,477,3155,3325,12141,3922,9496,9992,1572,18410,3730,18123,1669,12995,1114,1642,3476,9648,3789,1902,6059,7654,9130,1472,11573,15548,10242,14359,7114,8119,12871,17683,14535,18205,15578,17397,18455,4880,1402,4780,14624,6695,18797,9462,18328,9521,6031,1441,6850,13380,14975,4593,9960,14375,19871,3883,1919,2373,12513,8961,10670,5247,13396,18245,7005"
