ree,support,confidence,error
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.DISTANCE=t1.DISTANCE,0.00044259,0.9952999910047675,"8709,2132,16620,2709,17866,6769,17563,4358,12208,8617,17036,18816,16861,5186,17121,11092,18014,15652,9817,15964,5760,18074,16117,11834,11071,15778,19733,17033,14115,7455,19190,7263,19723,10884,9509,10484,19757,10168,4475,6037,16992,12616,14233,1282,11331,12913,17421,8648,9520,5637,19013,10500,2331,7753,13203,17477,11604,10479,10448,10224,13372,1584,8082,14121,10482,17060,17858,14414,6373,12689,16875"
0(t0)^0(t1) ^ t0.DISTANCE=t1.DISTANCE ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT->t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT,0.00044259,0.9682669904505627,"18726,7932,9557,459,11933,19534,8698,15409,1988,18380,3741,11940,5185,17291,9520,10238,7462,4679,14937,17142,2939,837,19532,8141,4776,19608,8221,13121,2050,3063,1282,6083,19569,7842,15896,1761,12974,10361,16155,9011,9565,18344,17640,6647,19981,4625,5108,6553,4129,15027,807,7087,8136,2659,11407,17916,19990,19336,18173,3203,4793,18024,3879,10881,7811,10823,17887,19230,15213,2290,7526,543,15348,1242,9147,15990,5318,9777,6625,6076,400,9379,2254,5996,5007,8118,19707,4096,8650,15892,13457,13088,18670,18816,15014,7371,18672,2741,19342,306,13959,17087,3831,2401,14239,7409,13514,14847,14438,13430,505,10889,2555,1487,12635,18921,2305,3255,8975,11425,1097,12349,3210,3792,9220,5957,18396,2008,15368,14523,13046,11021,2522,5406,3522,12861,3366,5474,11690,15025,11210,16526,409,17667,19127,255,2423,19769,16020,1135,10655,3547,19904,10311,19346,7870,10,14979,14615,13829,3542,7308,6907,5796,2419,9955,18993,14879,3888,18793,14789,12574,11887,7953,16698,12531,4041,18877,12148,18140,253,19701,9364,10370,5640,11121,5721,5286,5901,19403,14245,15177,2715,3852,1697,13734,10864,15317,10045,17828,6983,17371,15599,9412,2261,18732,2888,7807,11636,19567,18251,16716,10492,16691,5290,1126,13225,12236,4343,11378,369,10786,2729,2153,8735,1318,2265,2255,16134"
0(t0)^0(t1) ^ t0.SCHEDULED_TIME=t1.SCHEDULED_TIME ^ t0.SCHEDULED_DEPARTURE=t1.SCHEDULED_DEPARTURE ^ t0.AIRLINE=HA->t0.SCHEDULED_ARRIVAL=t1.SCHEDULED_ARRIVAL,0.0117,0.9915254237288136,"6360,6916,12361,10529,11160,2084,17342,7083,11234,3193"
0(t0)^0(t1) ^ t0.SCHEDULED_TIME=t1.SCHEDULED_TIME ^ t0.SCHEDULED_ARRIVAL=t1.SCHEDULED_ARRIVAL ^ t0.AIRLINE=HA->t0.SCHEDULED_DEPARTURE=t1.SCHEDULED_DEPARTURE,0.0118,0.9915966386554622,"2084,4344,16223,4586"
0(t0)^0(t1) ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT ^ t0.AIRLINE=t1.AIRLINE ^ t0.AIRLINE!=UA ^ t0.AIRLINE!=B6 ^ t0.AIRLINE!=AA->t0.DISTANCE=t1.DISTANCE,0.6956,0.9753224901850813,"3210,4921,5601,14922,12465,17548,589,10458,10383,2882,4474,336,12231,19508,18768,4413,10116,8425,5219,7255,6138,4201,2953,18380,1951,7470,13871,10377,7952,11176,12387,4873,18091,8328,12422,16422,6330,7568,2043,4266,797,580,15964,3755,469,7416,4011,11287,19667,6225,18827,9892,6693,6618,6822,8294,12208,6347,18168,6844,3632,18014,2330,16484,17199,608,14135,12192,370,19650,18713,3135,17972,18129,7966,12606,14355,5755,2504,10778,16219,6552,7306,16741,19342,14087,7814,1093,16815,6005,5288,74,5871,12063,10479,6968,19224,5289,15050,4276,8848,17108,8025,6101,9468,19184,992,8134,18471,4410,19979,19733,12669,10140,1220,2274,13218,16354,8116,7063,10832,13456,39,9417,12193,3309,3884,9646,19336,4996,2460,14149,6983,19670,391,3839,6394,10538,15700,407,1701,14469,5734,2449,19793,2232,4287,5816,19183,13692,11604,327,19923,18598,6164,11315,17866,2723,15839,11596,17298,10518,3969,6540,8871,9105,14963,2249,11670,6063,11160,19782,10682,12052,15306,1328,1298,3119,19487,6010,8622,10483,19821,19723,3670,1060,11845,8706,19434,17482,17035,3637,9962,4626,13061,6449,18041,13296,14724,9534,12629,3610,18434,477,7684,16427,5765,15032,16887,13290,10321,9108,5172,11695,11424,9817,15087,11094,18441,12013,19810,16669,18449,4071,15887,10323,5752,4724,17987,1259,1155,3773,12685,292,19234,19577,19584,6738,5321,18654,9745,10556,12900,10413,2570,16552,13275,9930,492,9400,17218,1782,7018,15935,2017,5541,19769,18816,19875,4811,3348,17694,547,12637,9342,15567,439,4049,10145,17878,15022,18220,17328,16300,19316,2040,6108,7673,15106,14910,3732,5330,1166,15921,16910,17777,14385,8181,5903,1006,9851,3350,18120,389,3740,12632,11665,9225,18529,1478,19850,10439,1761,19200,12687,17969,2135,12260,9365,9890,7617,6522,16375,10266,11584,18214,3036,16923,3567,3238,13402,7007,2458,66,2430,4206,19239,4665,3885,12079,732,15535,5169,9095,4475,1392,18008,9194,7532,13098,16681,16849,9259,19718,7774,11243,11834,13769,15282,2019,18273,1597,12552,15086,10470,16981,15958,16299,2829,1938,12696,17749,6824,10039,18427,5207,4205,17778,18892,8576,6359,5108,18400,8122,2968,11230,3276,18521,3538,15415,9682,712,2696,18259,4294,5052,12435,2795,7998,8709,12721,8374,6003,1443,6773,11329"
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.AIRLINE=t1.AIRLINE ^ t0.AIRLINE!=UA ^ t0.AIRLINE!=OO ^ t0.AIRLINE!=EV->t0.DISTANCE=t1.DISTANCE,0.6936,0.9871904355251921,"15757,6596,6597,4912,9520,19469,9817,7619,18690,11373,5224,9946,6197,6509,7383,17534,16011,19639,13577,10747,7152,5883,17624,15235,5097,15964,14017,7521,18375,10365,14049,3836,17968,12168,11604,16041,2614,11557,14089,4066,8606,9584,18887,18919,19462,6740,17356,4676,8446,19748,7753,15840,1178,19795,10251,17879,19489,18220,4921,4259,19673,16198,9455,10315,9474,2176,13840,10911,11064,3190,7184,15648,10069,14778,18764,8077,3169,10215,12722,3863,15661,5591,1269,6849,19367,16046,1504,1183,2403,7612,16122,172,4288,545,5161,9326,335,5113,4734,4151,5807,5674,8390,17365,16923,18243,19058,18723,7888,14542,5934,12648,10430,12902,17618,13882,8860,16165,15458,19723,17124,4903,2392,6600,14550,10756,1146,14241,16363,14951,11696,5534,14516,18935,15171,9761,12359,5397,8804,2196,2579,9795,16724,18307,12068,7942,5846,19181,12787,16913,3657,1906,17233,15945,3912,2132,18998,4715,15660,1856,3847,584,3612,5407,8513,1586,9296,10888,6761,1999,2818,10656,3727,18321,10556,16148,3302,18763,9146,7653,391,10169,3937,15673,14351,19192,14300,76,7111,14034,4849,15479,11329,13158,1072,16277,19067,15737,16187,18273,13879,15868,9885,3296,9685,15053,7039,6685,3437,17866,3178,3303,7432,2716,4279,2355,19987,6569,3927,16108,14846,1259,167,7319,7655,14127,4091,11058,17605,14217,16579,19208,18588,10989,2770,15349,12299,6946,10996,7798,6411,13445,15486,14334,12330,7763,17328,6502,13573,12304,7614,16038,15781,7641,11876,7060,6246,437,8618,10957,11098,883,2137,1844,6990,10437,12267,4095,13186,17213,3610,18816,15430,4353,10442,3124,10834,11873,11040,13410,8198,2065,14056,1600,9682,11393,12564,2894,2882,12281,13103"
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.AIRLINE=t1.AIRLINE ^ t0.AIRLINE=UA->t0.DISTANCE=t1.DISTANCE,0.0641,0.9524517087667161,"16534,4730,7989,8352,19644,12975,2406,14421,9839,10643,16854,1691,873,9031,13626,17389,10245,8147,18586,16833,3600,17184,4519,519,495,16147,17381,4927,19662,14848,5653,18263,8673,18465,12692,1490,14349,13475,19566,2845,8059,299,3530,15144,14041,15865,12616,12446,18473,1637,8172,19842,18224,3702,3118,9672,609,16170,3421,9090,13342,2103,557,3088,11183,16183,959,7608,4820,840,2895,6770,5171,12949,12548,14933,6816,12018,7526,8196,4904,18040,17412,7723,9823,4232,4671,13037,9473,19030,15353,13646,5611,7933,12101,19860,9664,13412,7248,2627,16497,1851,19013,16335,13177,8301,7169,10582,17060,15030,14136,1132,16425,200,11269,3764,8855,420,1007,18352,11538"
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.AIRLINE=t1.AIRLINE ^ t0.AIRLINE=OO->t0.DISTANCE=t1.DISTANCE,0.0961,0.9581256231306082,"4292,10218,18555,16152,1144,9092,17327,8738,12847,3435,17774,12189,7120,14873,1662,14248,6918,8396,17313,15505,12346,12682,5144,5350,15331,17239,4640,3158,10006,11715,69,18605,15591,15041,3983,5733,10629,5975,11218,2740,5380,15168,5790,1713,7910,3843,15339,16206,1268,12403,17687,19507,19526,17942,3696,2042,15454,1367,14620,16563,12262,648,13421,6996,19068,4060,10798,15066,7469,15308,10995,12023,1955,11612,6587,5024,2798"
0(t0)^0(t1) ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.DESTINATION_AIRPORT=t1.DESTINATION_AIRPORT ^ t0.AIRLINE=t1.AIRLINE ^ t0.AIRLINE!=US ^ t0.AIRLINE!=B6 ^ t0.AIRLINE!=AA->t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT,0.7427,0.9717388460028784,"16681,7527,12900,17972,15862,547,14385,6449,12629,19200,13871,2696,18259,6540,4008,5172,7532,1155,4011,17778,3740,3670,12435,5219,2552,4724,19249,9473,19821,9179,19850,11596,13769,14922,439,18401,10176,9194,6983,1298,5765,9682,12422,18434,12669,5734,10483,19434,4049,6138,10682,19670,11695,17328,2795,7962,3118,9225,1478,15106,19584,18768,6968,17100,3348,15087,3637,2249,9851,407,7998,2460,14005,6330,2430,18640,5869,4996,4206,19184,16422,16105,12387,10383,15282,5052,1060,8294,15535,12153,19183,19769,4413,9816,18441,17777,18091,1328,9892,19239,16981,12606,12687,6844,19316,8622,18529,1782,17875,4811,19650,17548,3839,1938,3885,818,19810,13692,10266,5084,2458,10413,3276,14126,552,18521,10518,15032,39,2829,3567,12721,2232,13297,6010,732,10988,389,12632,18214,14963,4873,9365,14366,11845,15700,15614,5254,9962,11424,6108,2968,13061,11574,1701,6164,10116,2043,3350,11589,8969,15887,10323,16534,14910,6005,10439,12052,14469,16484,797,18815,7774,12193,9935,3503,5752,9217,7989,5601,7684,6113,6738,12013,9491,16552,10440,10377,1220,7586,7470,16815,9259,9850,8425,10538,5816,15554,17797,18892,8576,14087,3210,11834,9095,469,8328,15022,5289,10140,9342,11584,12192,9495,13133,3773,15958,9745,10132,11665,1761,13313,4266,4410,5541,1392,17878,18827,19336,4626,589,11094,4294,13456,13098,6359,16240,19577,19718,19875,6552,2442,12431,14893,2504,15060,7306,16887,7673,16427,3969,6618,13402,19952,10039,1951,492,11160,3884,1597,7887,6693,6003,17298,15362,18096,16299,18008,19224,14202,1443,12231,9468,5169,18713,19667,2040,13290,19745,18120,4201,7617,10145,13296,2330,6101,4276,16923,2145,15839,8025,16741,15567,4474,7446,5551,12465,4665,370,18167,2135,16183,15306,6822,18129,5321,18400,5204,8134,8848,4687,4071,8675,12552,9890,13275,327,4287,17218,14343,3309,2953,15921,3755,9105,17199,6421,1166,4205,12079,16354,6824,580,10778,9108,4376,18380,8181,350,391,15935,6139,5288,18471,12696,18068,18427,16219,17987,5108,3632,712,8871,16375,19234,17108,5330,5207,8122,14724,12063,3119,9930,15086,17969,19923,17482,11243,5903,12260,7952,2570,336,19793,7018,15861,13218,2449,5871,13094,1172,17749,8073,8374,10000,11756,16300,3146,10321,7255,19782,11331,11315,608,18041,7416,2017,18699,3135,1601,17035,3036,1093,15050,9400,11670,2019,18598,17694,16910,14355,10832,15415,14149,8116,9646,19508,7966,9534,5501,18417,3238,1006"
0(t0)^0(t1) ^ t0.ORIGIN_AIRPORT=t1.ORIGIN_AIRPORT ^ t0.FLIGHT_NUMBER=t1.FLIGHT_NUMBER ^ t0.AIRLINE=B6->t0.DISTANCE=t1.DISTANCE,0.0626,0.9675425038639877,"12548,10388,7356,1609,15291,16833,18645,13219,6005,16650,14072,5015,9464,17765,12090,17188,14966,14257,7381,740,9520,3519,6909,3597,7393,8352,6867,10520,3754,13923,5327,16613,8836,1443,5149,273,17893,14933,17197,13463,16705,2172,8295,683,14136,2680,12639,7854,9590,2622,8719,5062,11895,11285,6322,4519,13620,16843"
