Recall,Dataset
0.0694,../../datasets/synthetic_outlier/waveform_dependency_0.1.csv
0.0714,../../datasets/synthetic_outlier/waveform_dependency_0.15.csv
0.0276,../../datasets/synthetic_outlier/waveform_dependency_0.2.csv
0.12,../../datasets/synthetic_outlier/waveform_dependency_0.25.csv
0.0577,../../datasets/synthetic_outlier/waveform_dependency_0.3.csv
