iter	Passed	Remaining
417	2937	4090
418	2945	4084
419	2952	4076
420	2959	4070
421	2966	4063
422	2973	4056
423	2980	4049
424	2989	4044
425	2996	4037
426	3003	4030
427	3011	4024
428	3019	4018
429	3026	4011
430	3033	4004
431	3039	3996
432	3046	3988
433	3052	3981
434	3059	3973
435	3066	3967
436	3073	3959
437	3080	3953
438	3087	3945
439	3094	3938
440	3101	3931
441	3109	3925
442	3116	3919
443	3124	3913
444	3133	3907
445	3141	3901
446	3149	3896
447	3157	3889
448	3165	3884
449	3172	3877
450	3180	3871
451	3188	3865
452	3197	3860
453	3205	3854
454	3228	3867
455	3237	3862
456	3244	3854
457	3250	3846
458	3257	3839
459	3263	3831
460	3270	3823
461	3276	3815
462	3283	3807
463	3288	3799
464	3294	3790
465	3301	3782
466	3307	3774
467	3313	3767
468	3321	3760
469	3328	3753
470	3334	3745
471	3341	3738
472	3348	3730
473	3356	3724
474	3363	3717
475	3371	3711
476	3378	3703
477	3385	3696
478	3392	3689
479	3399	3682
480	3406	3676
481	3413	3668
482	3420	3661
483	3428	3654
484	3434	3647
485	3440	3639
486	3447	3631
487	3454	3624
488	3461	3616
489	3467	3608
490	3473	3601
491	3479	3592
492	3485	3584
493	3491	3576
494	3497	3567
495	3503	3560
496	3510	3553
497	3516	3545
498	3523	3537
499	3530	3530
500	3536	3522
501	3543	3515
502	3550	3508
503	3558	3501
504	3564	3494
505	3571	3486
506	3578	3479
507	3585	3472
508	3593	3466
509	3601	3459
510	3609	3453
511	3616	3446
512	3623	3440
513	3631	3433
514	3639	3427
515	3646	3420
516	3652	3412
517	3658	3404
518	3665	3396
519	3671	3389
520	3678	3381
521	3685	3374
522	3691	3366
523	3697	3359
524	3704	3351
525	3711	3344
526	3717	3336
527	3724	3329
528	3731	3322
529	3738	3315
530	3745	3308
531	3753	3301
532	3759	3294
533	3767	3288
534	3774	3281
535	3782	3274
536	3789	3267
537	3796	3260
538	3804	3253
539	3811	3246
540	3819	3240
541	3828	3234
542	3835	3227
543	3844	3222
544	3852	3216
545	3861	3210
546	3869	3204
547	3877	3197
548	3885	3192
549	3894	3186
550	3903	3180
551	3910	3173
552	3918	3167
553	3925	3160
554	3931	3152
555	3938	3145
556	3948	3140
557	3957	3134
558	3965	3128
559	3974	3122
560	3982	3116
561	3991	3110
562	3999	3104
563	4007	3097
564	4015	3091
565	4022	3084
566	4032	3079
567	4040	3072
568	4048	3066
569	4056	3059
570	4064	3053
571	4073	3047
572	4081	3041
573	4091	3036
574	4098	3029
575	4105	3022
576	4113	3015
577	4120	3008
578	4126	3000
579	4133	2993
580	4140	2985
581	4148	2979
582	4155	2972
583	4163	2965
584	4171	2958
585	4180	2953
586	4188	2946
587	4197	2940
588	4205	2934
589	4212	2927
590	4221	2921
591	4229	2914
592	4236	2907
593	4242	2899
594	4249	2892
595	4256	2885
596	4263	2878
597	4271	2871
598	4279	2864
599	4286	2857
600	4292	2850
601	4299	2842
602	4305	2834
603	4311	2826
604	4317	2818
605	4324	2811
606	4331	2804
607	4340	2798
608	4347	2791
609	4355	2784
610	4361	2777
611	4368	2769
612	4376	2762
613	4385	2757
614	4393	2750
615	4401	2743
616	4409	2736
617	4416	2729
618	4425	2723
619	4433	2717
620	4440	2710
621	4447	2702
622	4454	2695
623	4462	2688
624	4469	2681
625	4477	2674
626	4484	2667
627	4493	2661
628	4501	2655
629	4510	2649
630	4518	2642
631	4527	2636
632	4534	2629
633	4542	2622
634	4551	2616
635	4560	2610
636	4568	2603
637	4575	2596
638	4582	2589
639	4589	2581
640	4596	2574
641	4603	2567
642	4611	2560
643	4621	2554
644	4631	2548
645	4638	2541
646	4646	2535
647	4653	2527
648	4661	2520
649	4668	2513
650	4676	2506
651	4685	2501
652	4695	2495
653	4705	2489
654	4714	2482
655	4722	2476
656	4732	2470
657	4740	2464
658	4750	2458
659	4757	2450
660	4766	2444
661	4775	2438
662	4783	2431
663	4793	2425
664	4802	2419
665	4810	2412
666	4818	2405
667	4825	2398
668	4833	2391
669	4840	2384
670	4847	2376
671	4853	2369
672	4860	2361
673	4866	2353
674	4872	2346
675	4879	2338
676	4886	2331
677	4892	2323
678	4898	2315
679	4905	2308
680	4912	2301
681	4919	2293
682	4927	2287
683	4935	2279
684	4941	2272
685	4948	2264
686	4954	2257
687	4961	2250
688	4967	2242
689	4974	2234
690	4981	2227
691	4987	2219
692	4995	2212
693	5001	2205
694	5009	2198
695	5016	2191
696	5023	2183
697	5029	2176
698	5038	2169
699	5044	2161
700	5050	2154
701	5057	2146
702	5063	2139
703	5069	2131
704	5075	2123
705	5081	2116
706	5087	2108
707	5094	2101
708	5101	2093
709	5107	2085
710	5113	2078
711	5118	2070
712	5125	2063
713	5131	2055
714	5139	2048
715	5146	2041
716	5154	2034
717	5160	2026
718	5168	2020
719	5175	2012
720	5182	2005
721	5189	1998
722	5195	1990
723	5202	1983
724	5209	1975
725	5216	1968
726	5222	1961
727	5229	1953
728	5236	1946
729	5242	1939
730	5247	1931
